
Call:  glmnet(x = x, y = y, alpha = 0.35, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 10.2400
2    2 0.00293  9.3300
3    2 0.00831  8.5010
4    2 0.01280  7.7460
5    2 0.01655  7.0580
6    2 0.01968  6.4310
7    3 0.02233  5.8600
8    3 0.02706  5.3390
9    3 0.03101  4.8650
10   4 0.03475  4.4330
11   4 0.03801  4.0390
12   4 0.04071  3.6800
13   4 0.04297  3.3530
14   4 0.04485  3.0550
15   4 0.04642  2.7840
16   4 0.04773  2.5370
17   4 0.04881  2.3110
18   5 0.04990  2.1060
19   6 0.05120  1.9190
20   6 0.05248  1.7480
21   6 0.05354  1.5930
22   8 0.05483  1.4510
23   8 0.05643  1.3230
24   8 0.05776  1.2050
25   8 0.05887  1.0980
26   8 0.05980  1.0000
27   8 0.06058  0.9116
28   8 0.06123  0.8306
29   9 0.06188  0.7568
30   9 0.06269  0.6896
31   9 0.06337  0.6283
32   9 0.06394  0.5725
33  10 0.06584  0.5216
34  10 0.06898  0.4753
35  12 0.07312  0.4331
36  12 0.07990  0.3946
37  13 0.08631  0.3595
38  15 0.09327  0.3276
39  17 0.10090  0.2985
40  19 0.10820  0.2720
41  20 0.11580  0.2478
42  23 0.12460  0.2258
43  26 0.13460  0.2057
44  27 0.14360  0.1875
45  28 0.15250  0.1708
46  30 0.16200  0.1556
47  32 0.17080  0.1418
48  35 0.18000  0.1292
49  37 0.18940  0.1177
50  40 0.19910  0.1073
51  42 0.21030  0.0978
52  43 0.22080  0.0891
53  47 0.23150  0.0812
54  50 0.24170  0.0739
55  50 0.25130  0.0674
56  54 0.26060  0.0614
57  56 0.26920  0.0559
58  58 0.27840  0.0510
59  58 0.28720  0.0464
60  59 0.29510  0.0423
61  63 0.30330  0.0386
62  67 0.31180  0.0351
63  69 0.31990  0.0320
64  71 0.32820  0.0292
65  72 0.33590  0.0266
66  73 0.34310  0.0242
67  74 0.34990  0.0221
68  78 0.35630  0.0201
69  79 0.36280  0.0183
70  80 0.36870  0.0167
71  82 0.37420  0.0152
72  83 0.37930  0.0139
73  84 0.38410  0.0126
74  85 0.38840  0.0115
75  89 0.39260  0.0105
76  91 0.39650  0.0096
77  91 0.40020  0.0087
78  91 0.40350  0.0079
79  92 0.40650  0.0072
80  93 0.40920  0.0066
81  94 0.41160  0.0060
82  96 0.41380  0.0055
83  97 0.41570  0.0050
84  97 0.41750  0.0045
85  96 0.41900  0.0041
86  95 0.42040  0.0038
87  95 0.42150  0.0034
88  97 0.42260  0.0031
89  97 0.42350  0.0028
90  97 0.42420  0.0026
91  97 0.42490  0.0024
92  96 0.42550  0.0022
93  96 0.42600  0.0020
94  96 0.42640  0.0018
95  97 0.42680  0.0016
96  96 0.42710  0.0015
97  96 0.42740  0.0014
98  96 0.42760  0.0012
99  96 0.42780  0.0011
100 95 0.42800  0.0010
