
Call:  glmnet(x = x, y = y, alpha = 0.03, family = "gaussian", standardize = FALSE) 

     Df    %Dev  Lambda
1     0 0.00000 119.500
2     2 0.00231 108.900
3     2 0.00646  99.180
4     2 0.01017  90.370
5     2 0.01347  82.340
6     2 0.01639  75.030
7     3 0.01909  68.360
8     3 0.02307  62.290
9     3 0.02663  56.760
10    4 0.03029  51.710
11    4 0.03356  47.120
12    4 0.03644  42.930
13    4 0.03894  39.120
14    4 0.04112  35.640
15    4 0.04302  32.480
16    5 0.04474  29.590
17    5 0.04631  26.960
18    5 0.04766  24.570
19    6 0.04919  22.390
20    6 0.05055  20.400
21    7 0.05179  18.590
22    8 0.05342  16.930
23    8 0.05488  15.430
24    8 0.05617  14.060
25    8 0.05729  12.810
26    8 0.05828  11.670
27    8 0.05914  10.640
28    9 0.05994   9.690
29    9 0.06079   8.829
30    9 0.06154   8.045
31    9 0.06221   7.330
32    9 0.06280   6.679
33   10 0.06352   6.086
34   10 0.06443   5.545
35   12 0.06557   5.053
36   12 0.06714   4.604
37   15 0.06895   4.195
38   19 0.07143   3.822
39   20 0.07432   3.483
40   22 0.07757   3.173
41   23 0.08099   2.891
42   25 0.08459   2.634
43   26 0.08843   2.400
44   27 0.09232   2.187
45   28 0.09658   1.993
46   29 0.10100   1.816
47   33 0.10560   1.654
48   34 0.11040   1.507
49   36 0.11540   1.374
50   39 0.12060   1.252
51   41 0.12600   1.140
52   45 0.13160   1.039
53   46 0.13740   0.947
54   49 0.14330   0.863
55   53 0.14930   0.786
56   56 0.15540   0.716
57   56 0.16180   0.653
58   58 0.16830   0.595
59   61 0.17490   0.542
60   64 0.18160   0.494
61   66 0.18840   0.450
62   66 0.19530   0.410
63   68 0.20220   0.373
64   70 0.20920   0.340
65   70 0.21620   0.310
66   72 0.22310   0.282
67   74 0.23000   0.257
68   76 0.23700   0.234
69   79 0.24400   0.214
70   82 0.25090   0.195
71   85 0.25780   0.177
72   87 0.26470   0.162
73   88 0.27140   0.147
74   90 0.27810   0.134
75   94 0.28470   0.122
76   96 0.29130   0.111
77   95 0.29770   0.102
78   94 0.30390   0.092
79   95 0.31000   0.084
80   95 0.31600   0.077
81   96 0.32170   0.070
82   97 0.32730   0.064
83   98 0.33280   0.058
84   99 0.33810   0.053
85   99 0.34320   0.048
86   99 0.34820   0.044
87  100 0.35300   0.040
88  100 0.35770   0.036
89  100 0.36220   0.033
90  100 0.36660   0.030
91  100 0.37080   0.028
92  100 0.37480   0.025
93   99 0.37860   0.023
94   99 0.38230   0.021
95   99 0.38580   0.019
96  100 0.38920   0.017
97   99 0.39240   0.016
98   99 0.39550   0.014
99   99 0.39830   0.013
100  97 0.40110   0.012
