
Call:  glmnet(x = x, y = y, alpha = 0.4, family = "gaussian", standardize = FALSE) 

     Df     %Dev  Lambda
1     0 0.000000 10.3300
2     2 0.003433  9.4090
3     2 0.006457  8.5730
4     3 0.009299  7.8110
5     5 0.012860  7.1170
6     6 0.016170  6.4850
7     6 0.018930  5.9090
8     8 0.021520  5.3840
9     8 0.024140  4.9060
10    8 0.026310  4.4700
11    8 0.028120  4.0730
12    7 0.029620  3.7110
13    7 0.030870  3.3810
14    9 0.031980  3.0810
15   10 0.033290  2.8070
16   11 0.034590  2.5580
17   12 0.036120  2.3310
18   12 0.037520  2.1240
19   13 0.038690  1.9350
20   14 0.040300  1.7630
21   14 0.041790  1.6060
22   21 0.043480  1.4640
23   21 0.045320  1.3340
24   21 0.046970  1.2150
25   22 0.048580  1.1070
26   23 0.050000  1.0090
27   23 0.051190  0.9193
28   23 0.053130  0.8376
29   23 0.055110  0.7632
30   26 0.057210  0.6954
31   28 0.059280  0.6336
32   28 0.061190  0.5773
33   29 0.062920  0.5260
34   33 0.064610  0.4793
35   37 0.071890  0.4367
36   43 0.081600  0.3979
37   44 0.092510  0.3626
38   50 0.102600  0.3304
39   52 0.111800  0.3010
40   53 0.121700  0.2743
41   55 0.131100  0.2499
42   61 0.140500  0.2277
43   63 0.148900  0.2075
44   66 0.156400  0.1890
45   70 0.164100  0.1723
46   74 0.171100  0.1569
47   77 0.177300  0.1430
48   79 0.183100  0.1303
49   80 0.188700  0.1187
50   83 0.194000  0.1082
51   87 0.198800  0.0986
52   87 0.203000  0.0898
53   87 0.206600  0.0818
54   87 0.209600  0.0746
55   95 0.212300  0.0679
56   97 0.214700  0.0619
57   99 0.216800  0.0564
58   99 0.218600  0.0514
59  100 0.220200  0.0468
60  106 0.221700  0.0427
61  111 0.222900  0.0389
62  113 0.224000  0.0354
63  117 0.225200  0.0323
64  119 0.226400  0.0294
65  125 0.227500  0.0268
66  129 0.228800  0.0244
67  132 0.230100  0.0222
68  134 0.231300  0.0203
69  137 0.232300  0.0185
70  140 0.233300  0.0168
71  141 0.234100  0.0153
72  144 0.234900  0.0140
73  144 0.235500  0.0127
74  149 0.236100  0.0116
75  152 0.236600  0.0106
76  153 0.237100  0.0096
77  163 0.237500  0.0088
78  166 0.237900  0.0080
79  171 0.238300  0.0073
80  172 0.238600  0.0066
81  175 0.239000  0.0060
82  183 0.239300  0.0055
83  184 0.239500  0.0050
84  190 0.239800  0.0046
85  193 0.240000  0.0042
86  196 0.240200  0.0038
87  199 0.240400  0.0035
88  203 0.240500  0.0032
89  206 0.240700  0.0029
90  207 0.240800  0.0026
91  210 0.240900  0.0024
92  213 0.241000  0.0022
93  220 0.241000  0.0020
94  222 0.241100  0.0018
95  224 0.241200  0.0016
96  225 0.241200  0.0015
97  227 0.241200  0.0014
98  227 0.241300  0.0012
99  230 0.241300  0.0011
100 229 0.241300  0.0010
