
Call:  glmnet(x = x, y = y, alpha = 0.04, family = "gaussian", standardize = FALSE) 

     Df     %Dev  Lambda
1     0 0.000000 103.300
2     2 0.003087  94.090
3     2 0.005889  85.730
4     4 0.008740  78.110
5     6 0.012410  71.170
6     6 0.015600  64.850
7     6 0.018300  59.090
8     8 0.021060  53.840
9     9 0.023550  49.060
10    9 0.025660  44.700
11    9 0.027450  40.730
12    9 0.028970  37.110
13    9 0.030250  33.810
14   12 0.031640  30.810
15   12 0.032940  28.070
16   13 0.034280  25.580
17   13 0.035790  23.310
18   14 0.037130  21.240
19   14 0.038300  19.350
20   16 0.039790  17.630
21   19 0.041240  16.060
22   23 0.042890  14.640
23   22 0.044570  13.340
24   23 0.046050  12.150
25   24 0.047600  11.070
26   26 0.049030  10.090
27   26 0.050370   9.193
28   26 0.051970   8.376
29   25 0.053620   7.632
30   28 0.055380   6.954
31   28 0.057250   6.336
32   33 0.059100   5.773
33   34 0.061190   5.260
34   36 0.062960   4.793
35   40 0.065600   4.367
36   44 0.068720   3.979
37   46 0.072200   3.626
38   54 0.075810   3.304
39   57 0.079970   3.010
40   62 0.084710   2.743
41   64 0.089900   2.499
42   65 0.095010   2.277
43   68 0.100100   2.075
44   71 0.105200   1.890
45   76 0.110700   1.723
46   81 0.116100   1.569
47   86 0.121700   1.430
48   88 0.127400   1.303
49   91 0.133100   1.187
50   93 0.138800   1.082
51   94 0.144400   0.986
52  102 0.149700   0.898
53  105 0.154900   0.818
54  107 0.160100   0.746
55  112 0.165000   0.679
56  114 0.169800   0.619
57  116 0.174400   0.564
58  120 0.178700   0.514
59  121 0.182900   0.468
60  121 0.186800   0.427
61  125 0.190500   0.389
62  133 0.194000   0.354
63  133 0.197400   0.323
64  134 0.200500   0.294
65  139 0.203500   0.268
66  141 0.206100   0.244
67  143 0.208700   0.222
68  145 0.211100   0.203
69  148 0.213400   0.185
70  148 0.215400   0.168
71  150 0.217300   0.153
72  153 0.219000   0.140
73  157 0.220700   0.127
74  163 0.222200   0.116
75  165 0.223500   0.106
76  166 0.224700   0.096
77  166 0.225800   0.088
78  173 0.226900   0.080
79  175 0.227900   0.073
80  177 0.228900   0.066
81  180 0.229800   0.060
82  184 0.230700   0.055
83  185 0.231500   0.050
84  188 0.232200   0.046
85  187 0.232900   0.042
86  194 0.233500   0.038
87  196 0.234000   0.035
88  200 0.234600   0.032
89  208 0.235100   0.029
90  208 0.235500   0.026
91  211 0.236000   0.024
92  215 0.236400   0.022
93  218 0.236800   0.020
94  219 0.237200   0.018
95  220 0.237500   0.016
96  221 0.237900   0.015
97  220 0.238200   0.014
98  221 0.238500   0.012
99  223 0.238800   0.011
100 222 0.239000   0.010
