
Call:  glmnet(x = x, y = y, alpha = 0.35, family = "gaussian", standardize = TRUE) 

     Df     %Dev  Lambda
1     0 0.000000 1.27400
2     1 0.005595 1.16000
3     2 0.012890 1.05700
4     3 0.022990 0.96350
5     4 0.034260 0.87790
6     7 0.047970 0.79990
7    12 0.063280 0.72880
8    15 0.079660 0.66410
9    16 0.095030 0.60510
10   19 0.108600 0.55130
11   23 0.122900 0.50240
12   23 0.135400 0.45770
13   25 0.146200 0.41710
14   31 0.156200 0.38000
15   32 0.165000 0.34630
16   37 0.172600 0.31550
17   40 0.179200 0.28750
18   39 0.184800 0.26190
19   40 0.189500 0.23870
20   40 0.193600 0.21750
21   42 0.196900 0.19810
22   42 0.199700 0.18050
23   43 0.202100 0.16450
24   45 0.204100 0.14990
25   45 0.205700 0.13660
26   44 0.207100 0.12440
27   43 0.208300 0.11340
28   44 0.209300 0.10330
29   46 0.210200 0.09413
30   49 0.211000 0.08577
31   51 0.212400 0.07815
32   51 0.213800 0.07121
33   55 0.215200 0.06488
34   60 0.216700 0.05912
35   61 0.218400 0.05387
36   63 0.220000 0.04908
37   66 0.221500 0.04472
38   66 0.223000 0.04075
39   69 0.224400 0.03713
40   71 0.225600 0.03383
41   80 0.227000 0.03082
42   84 0.228200 0.02809
43   86 0.229500 0.02559
44   88 0.230600 0.02332
45   92 0.231700 0.02125
46   96 0.232700 0.01936
47  103 0.233500 0.01764
48  105 0.234500 0.01607
49  111 0.235300 0.01464
50  112 0.236100 0.01334
51  116 0.236800 0.01216
52  120 0.237400 0.01108
53  121 0.237900 0.01009
54  123 0.238400 0.00920
55  127 0.238800 0.00838
56  127 0.239100 0.00764
57  130 0.239500 0.00696
58  135 0.239700 0.00634
59  136 0.239900 0.00578
60  139 0.240100 0.00526
61  142 0.240300 0.00480
62  148 0.240400 0.00437
63  150 0.240500 0.00398
64  153 0.240600 0.00363
65  157 0.240700 0.00330
66  161 0.240800 0.00301
67  165 0.240900 0.00274
68  164 0.241000 0.00250
69  169 0.241000 0.00228
70  171 0.241100 0.00208
71  175 0.241100 0.00189
72  178 0.241200 0.00172
73  186 0.241200 0.00157
74  191 0.241200 0.00143
75  194 0.241200 0.00130
76  199 0.241300 0.00119
77  204 0.241300 0.00108
78  208 0.241300 0.00099
79  211 0.241300 0.00090
80  215 0.241300 0.00082
81  218 0.241300 0.00075
82  223 0.241400 0.00068
83  230 0.241400 0.00062
84  231 0.241400 0.00056
85  231 0.241400 0.00051
86  237 0.241400 0.00047
87  242 0.241400 0.00043
88  246 0.241400 0.00039
89  247 0.241400 0.00035
90  249 0.241400 0.00032
91  254 0.241400 0.00029
92  258 0.241400 0.00027
93  257 0.241400 0.00024
94  258 0.241400 0.00022
95  262 0.241400 0.00020
96  262 0.241400 0.00018
97  265 0.241400 0.00017
98  267 0.241400 0.00015
99  270 0.241500 0.00014
100 269 0.241500 0.00013
