
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

     Df     %Dev Lambda
1     0 0.000000 4.1300
2     2 0.003459 3.7640
3     2 0.006499 3.4290
4     3 0.009338 3.1250
5     5 0.012890 2.8470
6     6 0.016210 2.5940
7     6 0.018980 2.3640
8     8 0.021550 2.1540
9     8 0.024190 1.9620
10    8 0.026360 1.7880
11    7 0.028170 1.6290
12    7 0.029670 1.4840
13    7 0.030910 1.3530
14    9 0.032000 1.2320
15    9 0.033310 1.1230
16   11 0.034610 1.0230
17   12 0.036140 0.9323
18   12 0.037550 0.8494
19   13 0.038710 0.7740
20   14 0.040340 0.7052
21   14 0.041840 0.6426
22   21 0.043510 0.5855
23   21 0.045360 0.5335
24   21 0.047050 0.4861
25   22 0.048650 0.4429
26   23 0.050070 0.4036
27   23 0.051260 0.3677
28   22 0.053240 0.3350
29   23 0.055250 0.3053
30   26 0.057390 0.2782
31   28 0.059500 0.2534
32   27 0.061300 0.2309
33   27 0.063030 0.2104
34   33 0.064730 0.1917
35   37 0.075240 0.1747
36   43 0.089170 0.1592
37   44 0.102400 0.1450
38   49 0.114400 0.1321
39   51 0.124600 0.1204
40   53 0.133900 0.1097
41   55 0.143100 0.1000
42   59 0.152200 0.0911
43   62 0.159900 0.0830
44   64 0.167000 0.0756
45   69 0.174600 0.0689
46   74 0.181300 0.0628
47   77 0.187100 0.0572
48   80 0.192000 0.0521
49   79 0.196900 0.0475
50   83 0.201900 0.0433
51   86 0.206300 0.0394
52   86 0.209900 0.0359
53   87 0.212900 0.0327
54   88 0.215400 0.0298
55   93 0.217400 0.0272
56  100 0.219100 0.0248
57   99 0.220900 0.0226
58   99 0.222200 0.0206
59  102 0.223300 0.0187
60  102 0.224200 0.0171
61  108 0.225000 0.0156
62  113 0.225800 0.0142
63  118 0.227000 0.0129
64  123 0.228500 0.0118
65  125 0.229900 0.0107
66  127 0.231400 0.0098
67  128 0.232800 0.0089
68  134 0.234000 0.0081
69  137 0.235000 0.0074
70  142 0.235800 0.0067
71  144 0.236500 0.0061
72  147 0.237100 0.0056
73  149 0.237600 0.0051
74  151 0.238000 0.0046
75  154 0.238300 0.0042
76  155 0.238600 0.0039
77  161 0.239000 0.0035
78  168 0.239400 0.0032
79  171 0.239700 0.0029
80  177 0.239900 0.0027
81  183 0.240100 0.0024
82  183 0.240300 0.0022
83  188 0.240500 0.0020
84  189 0.240600 0.0018
85  191 0.240800 0.0017
86  196 0.240900 0.0015
87  201 0.241000 0.0014
88  203 0.241100 0.0013
89  205 0.241100 0.0011
90  205 0.241200 0.0010
91  210 0.241200 0.0010
92  212 0.241300 0.0009
93  214 0.241300 0.0008
94  217 0.241300 0.0007
95  220 0.241300 0.0007
96  221 0.241400 0.0006
97  226 0.241400 0.0005
98  227 0.241400 0.0005
99  230 0.241400 0.0005
100 232 0.241400 0.0004
