
Call:  glmnet(x = x, y = y, alpha = 0.1, family = "gaussian", standardize = TRUE) 

     Df    %Dev Lambda
1     0 0.00000 4.5710
2     1 0.00280 4.1650
3     6 0.00788 3.7950
4     8 0.01685 3.4570
5    12 0.02755 3.1500
6    14 0.03863 2.8700
7    18 0.05097 2.6150
8    22 0.06396 2.3830
9    27 0.07838 2.1710
10   34 0.09651 1.9790
11   38 0.11470 1.8030
12   43 0.13280 1.6430
13   48 0.15150 1.4970
14   52 0.17000 1.3640
15   58 0.18770 1.2430
16   63 0.20590 1.1320
17   65 0.22350 1.0320
18   68 0.23960 0.9399
19   73 0.25450 0.8564
20   78 0.26810 0.7804
21   83 0.28070 0.7110
22   84 0.29210 0.6479
23   87 0.30310 0.5903
24   89 0.31310 0.5379
25   91 0.32210 0.4901
26   91 0.33020 0.4466
27   91 0.33740 0.4069
28   92 0.34380 0.3707
29   94 0.34950 0.3378
30   93 0.35450 0.3078
31   94 0.35890 0.2804
32   93 0.36270 0.2555
33   92 0.36590 0.2328
34   91 0.36890 0.2121
35   91 0.37140 0.1933
36   91 0.37380 0.1761
37   92 0.37620 0.1605
38   93 0.37840 0.1462
39   95 0.38060 0.1332
40   95 0.38270 0.1214
41   96 0.38470 0.1106
42   95 0.38650 0.1008
43   98 0.38810 0.0918
44   97 0.38960 0.0837
45   97 0.39090 0.0762
46   98 0.39210 0.0695
47   99 0.39320 0.0633
48  100 0.39420 0.0577
49  100 0.39500 0.0526
50   97 0.39570 0.0479
51   95 0.39640 0.0436
52   95 0.39690 0.0398
53   94 0.39730 0.0362
54   95 0.39770 0.0330
55   94 0.39810 0.0301
56   92 0.39840 0.0274
57   94 0.39870 0.0250
58   96 0.39890 0.0228
59   98 0.39920 0.0207
60   98 0.39930 0.0189
61   97 0.39950 0.0172
62   98 0.39960 0.0157
63   98 0.39980 0.0143
64   98 0.40000 0.0130
65   96 0.40010 0.0119
66   95 0.40020 0.0108
67   95 0.40030 0.0098
68   98 0.40040 0.0090
69   98 0.40050 0.0082
70   99 0.40060 0.0074
71  101 0.40070 0.0068
72   99 0.40070 0.0062
73   98 0.40080 0.0056
74   99 0.40080 0.0051
75  100 0.40090 0.0047
76  102 0.40090 0.0043
77  101 0.40100 0.0039
78  102 0.40100 0.0035
79  102 0.40110 0.0032
80  102 0.40110 0.0029
81  103 0.40120 0.0027
82  105 0.40120 0.0024
83  103 0.40120 0.0022
84  103 0.40130 0.0020
85  104 0.40130 0.0018
86  105 0.40130 0.0017
87  105 0.40140 0.0015
88  105 0.40140 0.0014
89  106 0.40140 0.0013
90  106 0.40140 0.0012
91  107 0.40140 0.0011
92  108 0.40140 0.0010
93  109 0.40140 0.0009
94  109 0.40140 0.0008
95  109 0.40150 0.0007
96  110 0.40150 0.0007
97  110 0.40150 0.0006
98  110 0.40150 0.0006
99  110 0.40150 0.0005
100 110 0.40150 0.0005
