
Call:  glmnet(x = x, y = y, alpha = 0.9, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 0.76940
2    1 0.01460 0.70110
3    1 0.02682 0.63880
4    2 0.03778 0.58200
5    3 0.04716 0.53030
6    3 0.05569 0.48320
7    4 0.06325 0.44030
8    4 0.06948 0.40120
9    5 0.07468 0.36550
10   5 0.07923 0.33310
11   5 0.08298 0.30350
12   5 0.08609 0.27650
13   5 0.08867 0.25200
14   5 0.09082 0.22960
15   5 0.09261 0.20920
16   5 0.09409 0.19060
17   5 0.09532 0.17370
18   6 0.09635 0.15820
19   6 0.09727 0.14420
20   6 0.09803 0.13140
21   6 0.09866 0.11970
22   6 0.09918 0.10910
23   6 0.09962 0.09938
24   6 0.09998 0.09055
25   6 0.10030 0.08250
26   6 0.10050 0.07517
27   6 0.10070 0.06850
28   6 0.10090 0.06241
29   6 0.10110 0.05687
30   6 0.10120 0.05181
31   6 0.10130 0.04721
32   6 0.10140 0.04302
33   6 0.10140 0.03920
34   7 0.10150 0.03571
35   7 0.10150 0.03254
36   7 0.10160 0.02965
37   7 0.10160 0.02702
38   7 0.10160 0.02462
39   7 0.10170 0.02243
40   7 0.10170 0.02044
41   7 0.10170 0.01862
42   7 0.10170 0.01697
43   7 0.10170 0.01546
44   8 0.10170 0.01409
45   8 0.10170 0.01283
46   8 0.10170 0.01169
47   8 0.10170 0.01066
48   8 0.10180 0.00971
49   8 0.10180 0.00885
50   8 0.10180 0.00806
51   8 0.10180 0.00734
52   8 0.10180 0.00669
53   9 0.10180 0.00610
54   9 0.10190 0.00556
55  11 0.10210 0.00506
56  10 0.10230 0.00461
57  10 0.10240 0.00420
58  11 0.10240 0.00383
59  12 0.10250 0.00349
60  12 0.10260 0.00318
61  14 0.10280 0.00290
62  14 0.10310 0.00264
63  13 0.10320 0.00240
64  13 0.10330 0.00219
65  12 0.10340 0.00200
66  13 0.10350 0.00182
67  14 0.10360 0.00166
68  16 0.10360 0.00151
69  16 0.10370 0.00138
70  16 0.10380 0.00125
71  16 0.10380 0.00114
72  17 0.10400 0.00104
73  17 0.10400 0.00095
74  17 0.10410 0.00086
75  17 0.10410 0.00079
76  18 0.10410 0.00072
77  18 0.10410 0.00065
78  18 0.10420 0.00060
79  18 0.10420 0.00054
80  18 0.10420 0.00049
81  17 0.10420 0.00045
82  18 0.10420 0.00041
83  19 0.10430 0.00037
84  22 0.10430 0.00034
85  22 0.10430 0.00031
86  22 0.10430 0.00028
87  22 0.10430 0.00026
88  22 0.10430 0.00024
89  22 0.10430 0.00021
90  22 0.10430 0.00020
91  22 0.10430 0.00018
92  23 0.10430 0.00016
93  23 0.10430 0.00015
94  23 0.10430 0.00013
95  23 0.10430 0.00012
96  23 0.10430 0.00011
97  23 0.10430 0.00010
98  23 0.10430 0.00009
99  23 0.10430 0.00008
100 23 0.10430 0.00008
