
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 0.55370
2    1 0.00022 0.50460
3    1 0.00040 0.45970
4    1 0.00055 0.41890
5    1 0.00067 0.38170
6    1 0.00077 0.34780
7    1 0.00086 0.31690
8    1 0.00093 0.28870
9    1 0.00099 0.26310
10   2 0.00113 0.23970
11   2 0.00124 0.21840
12   2 0.00134 0.19900
13   2 0.00142 0.18130
14   4 0.00420 0.16520
15   4 0.01146 0.15050
16   5 0.02116 0.13720
17   5 0.03052 0.12500
18   5 0.04138 0.11390
19   6 0.05101 0.10380
20   6 0.05926 0.09454
21   9 0.06898 0.08614
22   9 0.08154 0.07849
23   9 0.09197 0.07152
24  10 0.10100 0.06517
25  11 0.10900 0.05938
26  13 0.11670 0.05410
27  16 0.12560 0.04930
28  17 0.13480 0.04492
29  18 0.14250 0.04093
30  20 0.14980 0.03729
31  21 0.15740 0.03398
32  23 0.16480 0.03096
33  25 0.17180 0.02821
34  28 0.18080 0.02570
35  30 0.18980 0.02342
36  32 0.19840 0.02134
37  36 0.20920 0.01944
38  36 0.21980 0.01772
39  35 0.22850 0.01614
40  36 0.23570 0.01471
41  42 0.24340 0.01340
42  42 0.25200 0.01221
43  42 0.25910 0.01113
44  45 0.26520 0.01014
45  49 0.27170 0.00924
46  49 0.27780 0.00842
47  50 0.28290 0.00767
48  50 0.28720 0.00699
49  50 0.29080 0.00637
50  52 0.29400 0.00580
51  53 0.29690 0.00529
52  54 0.29950 0.00482
53  57 0.30210 0.00439
54  57 0.30440 0.00400
55  60 0.30630 0.00364
56  60 0.30790 0.00332
57  61 0.30940 0.00302
58  64 0.31060 0.00276
59  66 0.31190 0.00251
60  67 0.31320 0.00229
61  68 0.31420 0.00208
62  68 0.31520 0.00190
63  69 0.31600 0.00173
64  70 0.31670 0.00158
65  70 0.31730 0.00144
66  70 0.31780 0.00131
67  70 0.31820 0.00119
68  70 0.31850 0.00109
69  70 0.31880 0.00099
70  69 0.31900 0.00090
71  69 0.31920 0.00082
72  69 0.31940 0.00075
73  69 0.31950 0.00068
74  69 0.31960 0.00062
75  71 0.31970 0.00057
76  73 0.31980 0.00052
77  73 0.31980 0.00047
78  73 0.31990 0.00043
79  74 0.32000 0.00039
80  74 0.32000 0.00036
81  75 0.32010 0.00032
82  75 0.32010 0.00030
83  75 0.32010 0.00027
84  74 0.32020 0.00025
85  73 0.32020 0.00022
86  73 0.32020 0.00020
87  74 0.32030 0.00019
88  74 0.32030 0.00017
89  74 0.32030 0.00015
90  74 0.32030 0.00014
91  74 0.32030 0.00013
92  74 0.32030 0.00012
93  74 0.32030 0.00011
94  74 0.32040 0.00010
95  74 0.32040 0.00009
96  74 0.32040 0.00008
97  74 0.32040 0.00007
98  74 0.32040 0.00007
99  74 0.32040 0.00006
100 74 0.32040 0.00006
