IC50,Cancer,Drug,From_Sanger,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_797,Fingerprint_791,Fingerprint_784,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_696,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_674,Fingerprint_673,Fingerprint_669,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_650,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,SDOM_subdomainXI_EXP,PWY_R_HSA_2029480,PWY_R_HSA_449147,PWY_R_HSA_983231,GO_0030036,FAM_Other_CSV,EXP_STKLD1,EXP_CLK3,EXP_KDR_X_EXP_FGF18,EXP_KDR_X_EXP_RHOA,EXP_KDR_X_EXP_RNF41,EXP_KDR_X_EXP_WASF1,EXP_MAP3K9_X_EXP_RAC1,EXP_OXSR1_X_EXP_SLC22A14,EXP_RPS6KB1_X_EXP_EIF4B,EXP_RPS6KB1_X_EXP_LAMTOR5,EXP_RPS6KB1_X_EXP_MYC,EXP_TAF1_X_EXP_BRPF3,EXP_TAF1_X_EXP_HIST1H2BC,EXP_TAF1_X_EXP_TEX10,PWY_R_HSA_112316_EXP_X_PWY_R_HSA_9006934_EXP,PWY_R_HSA_1643685_X_PWY_R_HSA_372790,PWY_R_HSA_168138_X_PWY_R_HSA_397014,PWY_R_HSA_168138_X_PWY_R_HSA_76002,PWY_R_HSA_195258_X_PWY_R_HSA_2454202,GO_0006397_EXP_X_GO_0018105_EXP,GO_0006397_X_GO_0018105,Predicted IC50,Validation
1.755957,1240219,1010,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,3.6020540139,0,0,0,0,0,3.249145633,3.6641921814,11.340995813,35.05088938,19.337050127,16.153103741,32.800291883,20.620253084,64.407491649,25.633685483,69.483460696,32.826930009,17.670769369,37.967063731,0,0,0,0,0,0,0,1.1274892565,7
-0.2528,1298534,252,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,3.178145687,4.1145785759,10.1303706,32.095175036,19.272340848,17.297529352,35.984117772,17.595033829,50.013562055,21.630893977,52.011273721,25.256551749,14.387910177,34.306510284,0,1,2,2,1,0,0,2.085276806,1
3.091248,1298526,306,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,3.3388858262,0,1,0,0,0,3.2538821083,3.8462520067,11.250662491,33.49022448,15.604598729,16.685635861,33.101221307,18.63867371,57.103356855,22.746213058,66.706066889,26.599553928,15.18318369,36.614460851,0,0,0,0,0,0,0,2.89201442,4
-2.772855,1240208,283,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,3.1476922709,0,0,0,0,0,3.368842601,3.6966018322,10.384739211,31.402637146,15.571921477,16.839996335,33.437772895,18.42081458,48.804166761,21.466092406,60.314571762,23.698130776,14.754543276,35.651058195,0,1,0,0,0,0,0,-2.67794893,9
2.484314,1298476,273,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3.2984018808,3.9163769182,11.147370527,36.028861295,15.241738703,14.372316596,41.450553281,18.613782301,48.545736972,21.02714618,56.067683325,23.452659508,14.466252982,28.563535186,0,1,0,0,0,0,0,1.6132532504,1
-0.890821,925347,185,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,3.066637805,3.6870945769,10.53139302,35.079171289,14.830554996,18.366210856,38.051194521,20.675910067,54.952398311,22.612745976,69.124436111,26.590906442,14.410724563,30.390076413,0,0,0,0,0,0,0,-0.030105154,5
2.827223,1298533,202,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,3.3004300842,3.9529428071,8.5799084907,30.508948538,13.234119661,13.285503592,37.089906261,19.436834764,49.481177017,19.516470637,73.819758173,28.750151216,15.333096304,35.45005383,0,0,0,0,0,0,0,2.4929563853,6
5.805073,1298533,193,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3.3004300842,3.9529428071,8.5799084907,30.508948538,13.234119661,13.285503592,37.089906261,19.436834764,49.481177017,19.516470637,73.819758173,28.750151216,15.333096304,35.45005383,0,0,0,0,0,0,0,5.6931052858,10
3.95914,906821,260,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,3.0183267077,3.725965908,10.198472845,35.40319048,16.339052445,14.317716438,34.084124723,16.816685831,49.60038251,22.709364583,63.404909482,24.789706294,15.258997451,27.435837129,0,0,0,0,0,0,0,4.2013727277,10
3.237593,1240218,185,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,3.3042220484,3.7608931676,9.5665930868,31.449444129,13.198513647,12.470505617,37.618956585,16.858397438,51.615323945,21.733884072,43.834453152,29.723474342,15.501634196,26.44518705,0,1,0,0,0,0,0,2.5372124451,2
