
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 10.7500
2    1 0.01550  9.7950
3    2 0.03390  8.9240
4    2 0.05047  8.1320
5    2 0.06429  7.4090
6    2 0.07581  6.7510
7    2 0.08542  6.1510
8    2 0.09342  5.6050
9    3 0.10010  5.1070
10   3 0.10620  4.6530
11   3 0.11120  4.2400
12   3 0.11550  3.8630
13   3 0.11900  3.5200
14   3 0.12190  3.2070
15   3 0.12430  2.9220
16   4 0.12670  2.6630
17   4 0.12890  2.4260
18   4 0.13080  2.2110
19   4 0.13230  2.0140
20   4 0.13360  1.8350
21   4 0.13460  1.6720
22   4 0.13550  1.5240
23   4 0.13620  1.3880
24   4 0.13680  1.2650
25   4 0.13730  1.1530
26   4 0.13770  1.0500
27   4 0.13810  0.9569
28   4 0.13840  0.8719
29   4 0.13860  0.7945
30   4 0.13880  0.7239
31   4 0.13900  0.6596
32   5 0.13910  0.6010
33   5 0.14050  0.5476
34   6 0.14190  0.4989
35   7 0.14380  0.4546
36   8 0.14830  0.4142
37   8 0.15610  0.3774
38   8 0.16290  0.3439
39   9 0.17510  0.3134
40   9 0.18620  0.2855
41   9 0.19600  0.2602
42  10 0.20590  0.2370
43  10 0.21490  0.2160
44  10 0.22280  0.1968
45  10 0.22960  0.1793
46  10 0.23550  0.1634
47  10 0.24060  0.1489
48  10 0.24500  0.1356
49  10 0.24880  0.1236
50  10 0.25200  0.1126
51  10 0.25470  0.1026
52  10 0.25710  0.0935
53  10 0.25910  0.0852
54  10 0.26080  0.0776
55  10 0.26220  0.0707
56  10 0.26340  0.0644
57  11 0.26440  0.0587
58  11 0.26550  0.0535
59  11 0.26650  0.0488
60  12 0.26730  0.0444
61  12 0.26800  0.0405
62  12 0.26860  0.0369
63  12 0.26920  0.0336
64  12 0.26970  0.0306
65  13 0.27010  0.0279
66  13 0.27040  0.0254
67  13 0.27060  0.0232
68  14 0.27080  0.0211
69  14 0.27110  0.0192
70  14 0.27140  0.0175
71  14 0.27170  0.0160
72  13 0.27190  0.0145
73  13 0.27210  0.0132
74  13 0.27240  0.0121
75  13 0.27260  0.0110
76  12 0.27270  0.0100
77  12 0.27270  0.0091
78  13 0.27280  0.0083
79  13 0.27280  0.0076
80  13 0.27290  0.0069
81  13 0.27300  0.0063
82  13 0.27310  0.0057
83  13 0.27320  0.0052
84  13 0.27330  0.0048
85  13 0.27330  0.0043
86  13 0.27340  0.0040
87  14 0.27340  0.0036
88  15 0.27340  0.0033
89  15 0.27340  0.0030
90  16 0.27350  0.0027
91  16 0.27350  0.0025
92  16 0.27350  0.0023
93  17 0.27350  0.0021
94  17 0.27350  0.0019
95  17 0.27350  0.0017
96  17 0.27360  0.0016
97  17 0.27360  0.0014
98  18 0.27360  0.0013
99  18 0.27360  0.0012
100 18 0.27360  0.0011
