
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = TRUE) 

    Df     %Dev Lambda
1    0 0.000000 8.7660
2   10 0.005302 7.9870
3   16 0.012950 7.2780
4   20 0.020680 6.6310
5   22 0.027850 6.0420
6   25 0.034330 5.5050
7   26 0.040000 5.0160
8   28 0.045110 4.5710
9   29 0.049720 4.1650
10  28 0.053770 3.7950
11  28 0.057470 3.4580
12  28 0.060610 3.1500
13  28 0.063500 2.8710
14  27 0.066070 2.6160
15  26 0.068370 2.3830
16  26 0.070460 2.1710
17  25 0.072290 1.9790
18  25 0.073930 1.8030
19  24 0.075400 1.6430
20  24 0.076710 1.4970
21  24 0.077890 1.3640
22  24 0.078950 1.2430
23  23 0.079900 1.1320
24  22 0.080740 1.0320
25  22 0.081490 0.9400
26  22 0.082170 0.8565
27  21 0.082770 0.7804
28  21 0.083310 0.7110
29  21 0.083810 0.6479
30  21 0.084250 0.5903
31  19 0.084640 0.5379
32  19 0.084990 0.4901
33  19 0.085310 0.4466
34  18 0.085590 0.4069
35  16 0.085830 0.3707
36  14 0.086030 0.3378
37  14 0.086180 0.3078
38  17 0.086400 0.2805
39  17 0.086680 0.2555
40  51 0.086980 0.2328
41  59 0.087340 0.2122
42  60 0.087660 0.1933
43  60 0.087930 0.1761
44  60 0.088180 0.1605
45  60 0.088420 0.1462
46  62 0.088700 0.1332
47  73 0.089020 0.1214
48  74 0.089350 0.1106
49  73 0.089640 0.1008
50  73 0.089920 0.0918
51  74 0.090170 0.0837
52  74 0.090410 0.0762
53  74 0.090620 0.0695
54  71 0.090810 0.0633
55  71 0.090970 0.0577
56  68 0.091130 0.0526
57  70 0.091260 0.0479
58  69 0.091390 0.0436
59  68 0.091530 0.0398
60  67 0.091650 0.0362
61  67 0.091760 0.0330
62  74 0.091850 0.0301
63  75 0.091940 0.0274
64  77 0.092020 0.0250
65  76 0.092100 0.0228
66  74 0.092170 0.0207
67  73 0.092230 0.0189
68  73 0.092280 0.0172
69  73 0.092330 0.0157
70  73 0.092380 0.0143
71  73 0.092420 0.0130
72  73 0.092460 0.0119
73  73 0.092490 0.0108
74  73 0.092530 0.0098
75  73 0.092560 0.0090
76  73 0.092590 0.0082
77  71 0.092610 0.0074
78  71 0.092610 0.0068
79  71 0.092620 0.0062
80  72 0.092650 0.0056
81  72 0.092680 0.0051
82  72 0.092700 0.0047
83  71 0.092720 0.0043
84  70 0.092750 0.0039
85  70 0.092770 0.0035
86  69 0.092780 0.0032
87  64 0.092800 0.0029
88  64 0.092800 0.0027
89  63 0.092810 0.0024
90  63 0.092840 0.0022
91  63 0.092840 0.0020
92  62 0.092850 0.0018
93  63 0.092860 0.0017
94  63 0.092870 0.0015
95  65 0.092880 0.0014
96  68 0.092880 0.0013
97  68 0.092890 0.0012
98  69 0.092900 0.0011
99  69 0.092910 0.0010
100 69 0.092910 0.0009
