
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 5.8220
2    1 0.005582 5.3050
3    1 0.010220 4.8340
4    1 0.014060 4.4040
5    1 0.017260 4.0130
6    1 0.019910 3.6570
7    1 0.022110 3.3320
8    2 0.024590 3.0360
9    2 0.028960 2.7660
10   2 0.032590 2.5200
11   2 0.035610 2.2960
12   2 0.038110 2.0920
13   2 0.040190 1.9070
14   2 0.041920 1.7370
15   2 0.043350 1.5830
16   3 0.044830 1.4420
17   3 0.046880 1.3140
18   3 0.048570 1.1970
19   3 0.049980 1.0910
20   3 0.051140 0.9941
21   4 0.052750 0.9058
22   4 0.054360 0.8253
23   4 0.055690 0.7520
24   4 0.056800 0.6852
25   4 0.057720 0.6243
26   4 0.058490 0.5688
27   4 0.059120 0.5183
28   4 0.059650 0.4723
29   4 0.060080 0.4303
30   4 0.060830 0.3921
31   6 0.062560 0.3572
32   6 0.064120 0.3255
33   6 0.065440 0.2966
34   6 0.066530 0.2702
35   6 0.067440 0.2462
36   6 0.068190 0.2244
37   6 0.068810 0.2044
38   7 0.069350 0.1863
39   8 0.070140 0.1697
40   8 0.071000 0.1546
41   8 0.071770 0.1409
42   8 0.072400 0.1284
43   8 0.072930 0.1170
44   8 0.073370 0.1066
45   8 0.073740 0.0971
46   8 0.074040 0.0885
47   9 0.074300 0.0806
48   9 0.074560 0.0735
49  10 0.076650 0.0669
50  10 0.078380 0.0610
51  10 0.079840 0.0556
52  10 0.081030 0.0506
53  11 0.082030 0.0461
54  10 0.082860 0.0420
55  11 0.083630 0.0383
56  11 0.084510 0.0349
57  11 0.085260 0.0318
58  11 0.085880 0.0290
59  12 0.086500 0.0264
60  12 0.087110 0.0241
61  13 0.087620 0.0219
62  13 0.088020 0.0200
63  13 0.088380 0.0182
64  15 0.088660 0.0166
65  16 0.088930 0.0151
66  17 0.089180 0.0138
67  19 0.089410 0.0125
68  19 0.089610 0.0114
69  19 0.089770 0.0104
70  19 0.089900 0.0095
71  20 0.090020 0.0086
72  20 0.090110 0.0079
73  18 0.090230 0.0072
74  18 0.090350 0.0065
75  22 0.090480 0.0060
76  20 0.090670 0.0054
77  20 0.090810 0.0049
78  22 0.090940 0.0045
79  22 0.091040 0.0041
80  22 0.091150 0.0037
81  22 0.091270 0.0034
82  23 0.091360 0.0031
83  24 0.091450 0.0028
84  26 0.091540 0.0026
85  27 0.091620 0.0024
86  25 0.091870 0.0021
87  27 0.091960 0.0020
88  26 0.092130 0.0018
89  26 0.092200 0.0016
90  26 0.092340 0.0015
91  28 0.092420 0.0013
92  29 0.092470 0.0012
93  28 0.092490 0.0011
94  30 0.092500 0.0010
95  32 0.092520 0.0009
96  32 0.092540 0.0008
97  28 0.092610 0.0008
98  28 0.092640 0.0007
99  30 0.092670 0.0006
100 32 0.092700 0.0006
