
Call:  glmnet(x = x, y = y, alpha = 0.55, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.5900
2    1 0.005534  9.6460
3    1 0.010140  8.7890
4    1 0.013970  8.0080
5    1 0.017160  7.2960
6    1 0.019810  6.6480
7    1 0.022020  6.0580
8    2 0.024550  5.5200
9    2 0.028890  5.0290
10   2 0.032500  4.5820
11   2 0.035500  4.1750
12   2 0.038000  3.8040
13   2 0.040090  3.4660
14   2 0.041820  3.1580
15   2 0.043260  2.8780
16   3 0.044820  2.6220
17   3 0.046840  2.3890
18   3 0.048520  2.1770
19   3 0.049920  1.9840
20   3 0.051090  1.8070
21   4 0.052710  1.6470
22   4 0.054290  1.5010
23   4 0.055620  1.3670
24   4 0.056710  1.2460
25   4 0.057640  1.1350
26   4 0.058400  1.0340
27   4 0.059040  0.9424
28   4 0.059570  0.8587
29   4 0.060020  0.7824
30   4 0.060810  0.7129
31   6 0.062540  0.6495
32   6 0.064060  0.5918
33   6 0.065360  0.5393
34   6 0.066450  0.4914
35   6 0.067350  0.4477
36   6 0.068100  0.4079
37   6 0.068740  0.3717
38   7 0.069280  0.3387
39   8 0.070030  0.3086
40   8 0.070900  0.2812
41   8 0.071680  0.2562
42   8 0.072330  0.2334
43   8 0.072860  0.2127
44   8 0.073310  0.1938
45   8 0.073680  0.1766
46   8 0.073990  0.1609
47   9 0.074250  0.1466
48  10 0.074530  0.1336
49  11 0.076210  0.1217
50  11 0.077690  0.1109
51  11 0.078990  0.1010
52  11 0.080130  0.0921
53  11 0.081110  0.0839
54  11 0.081960  0.0764
55  13 0.082790  0.0696
56  11 0.083730  0.0635
57  11 0.084530  0.0578
58  11 0.085210  0.0527
59  12 0.085800  0.0480
60  12 0.086460  0.0437
61  13 0.087050  0.0399
62  14 0.087540  0.0363
63  12 0.087960  0.0331
64  14 0.088300  0.0302
65  15 0.088590  0.0275
66  16 0.088860  0.0250
67  17 0.089120  0.0228
68  18 0.089370  0.0208
69  19 0.089550  0.0189
70  19 0.089720  0.0173
71  20 0.089860  0.0157
72  20 0.089980  0.0143
73  20 0.090100  0.0130
74  20 0.090230  0.0119
75  22 0.090370  0.0108
76  20 0.090550  0.0099
77  20 0.090690  0.0090
78  22 0.090840  0.0082
79  21 0.090950  0.0075
80  23 0.091070  0.0068
81  23 0.091170  0.0062
82  23 0.091300  0.0056
83  23 0.091390  0.0051
84  25 0.091470  0.0047
85  26 0.091580  0.0043
86  25 0.091750  0.0039
87  26 0.091910  0.0035
88  27 0.091950  0.0032
89  26 0.092110  0.0029
90  26 0.092190  0.0027
91  26 0.092290  0.0024
92  29 0.092360  0.0022
93  28 0.092440  0.0020
94  29 0.092480  0.0018
95  30 0.092490  0.0017
96  31 0.092510  0.0015
97  33 0.092530  0.0014
98  31 0.092550  0.0013
99  31 0.092620  0.0012
100 31 0.092650  0.0011
