
Call:  glmnet(x = x, y = y, alpha = 0.04, family = "gaussian", standardize = TRUE) 

    Df     %Dev  Lambda
1    0 0.000000 10.9600
2   11 0.004861  9.9840
3   19 0.012140  9.0970
4   22 0.019590  8.2890
5   26 0.026530  7.5530
6   29 0.032710  6.8820
7   30 0.038400  6.2700
8   30 0.043410  5.7130
9   30 0.047900  5.2060
10  30 0.051920  4.7430
11  30 0.055520  4.3220
12  30 0.058750  3.9380
13  30 0.061650  3.5880
14  30 0.064310  3.2690
15  28 0.066650  2.9790
16  28 0.068740  2.7140
17  28 0.070610  2.4730
18  27 0.072330  2.2530
19  26 0.073900  2.0530
20  25 0.075280  1.8710
21  25 0.076540  1.7050
22  24 0.077680  1.5530
23  24 0.078700  1.4150
24  24 0.079620  1.2900
25  24 0.080460  1.1750
26  23 0.081200  1.0710
27  22 0.081870  0.9755
28  21 0.082470  0.8888
29  21 0.083030  0.8098
30  21 0.083510  0.7379
31  21 0.083960  0.6724
32  21 0.084370  0.6126
33  20 0.084740  0.5582
34  20 0.085070  0.5086
35  19 0.085370  0.4634
36  19 0.085640  0.4223
37  17 0.085880  0.3847
38  19 0.086120  0.3506
39  17 0.086410  0.3194
40  63 0.086700  0.2910
41  67 0.087070  0.2652
42  65 0.087400  0.2416
43  62 0.087700  0.2202
44  62 0.087960  0.2006
45  61 0.088190  0.1828
46  62 0.088410  0.1665
47  63 0.088700  0.1518
48  74 0.089020  0.1383
49  75 0.089330  0.1260
50  76 0.089610  0.1148
51  76 0.089890  0.1046
52  76 0.090170  0.0953
53  75 0.090410  0.0868
54  73 0.090600  0.0791
55  73 0.090780  0.0721
56  72 0.090960  0.0657
57  71 0.091090  0.0598
58  72 0.091230  0.0545
59  73 0.091370  0.0497
60  73 0.091510  0.0453
61  75 0.091630  0.0412
62  75 0.091740  0.0376
63  77 0.091840  0.0342
64  77 0.091930  0.0312
65  77 0.092000  0.0284
66  75 0.092080  0.0259
67  76 0.092150  0.0236
68  74 0.092200  0.0215
69  73 0.092260  0.0196
70  71 0.092310  0.0179
71  71 0.092360  0.0163
72  70 0.092400  0.0148
73  71 0.092440  0.0135
74  70 0.092480  0.0123
75  68 0.092510  0.0112
76  67 0.092550  0.0102
77  65 0.092580  0.0093
78  67 0.092590  0.0085
79  67 0.092600  0.0077
80  65 0.092620  0.0070
81  63 0.092650  0.0064
82  59 0.092670  0.0058
83  58 0.092700  0.0053
84  61 0.092720  0.0049
85  60 0.092720  0.0044
86  58 0.092740  0.0040
87  65 0.092750  0.0037
88  64 0.092770  0.0033
89  62 0.092790  0.0030
90  63 0.092800  0.0028
91  61 0.092810  0.0025
92  60 0.092820  0.0023
93  63 0.092840  0.0021
94  64 0.092850  0.0019
95  64 0.092860  0.0017
96  64 0.092860  0.0016
97  64 0.092870  0.0014
98  64 0.092880  0.0013
99  64 0.092890  0.0012
100 68 0.092890  0.0011
