
Call:  glmnet(x = x, y = y, alpha = 0.85, family = "gaussian", standardize = TRUE) 

    Df     %Dev  Lambda
1    0 0.000000 0.51570
2    4 0.009256 0.46980
3    6 0.018780 0.42810
4    7 0.029510 0.39010
5    9 0.038720 0.35540
6   10 0.046580 0.32380
7   10 0.053260 0.29510
8    9 0.058750 0.26890
9   10 0.063550 0.24500
10   9 0.067590 0.22320
11   9 0.070950 0.20340
12   8 0.073650 0.18530
13   8 0.075900 0.16890
14   8 0.077770 0.15390
15   9 0.079330 0.14020
16   9 0.080660 0.12770
17   9 0.081750 0.11640
18  10 0.082670 0.10600
19  10 0.083430 0.09662
20  11 0.084080 0.08804
21  11 0.084620 0.08022
22  11 0.085080 0.07309
23  10 0.085450 0.06660
24  10 0.085750 0.06068
25  10 0.086010 0.05529
26  10 0.086220 0.05038
27  10 0.086390 0.04590
28  10 0.086540 0.04183
29  10 0.086660 0.03811
30  10 0.086760 0.03472
31  11 0.086840 0.03164
32  12 0.086910 0.02883
33  12 0.086970 0.02627
34  12 0.087020 0.02393
35  12 0.087060 0.02181
36  12 0.087100 0.01987
37  12 0.087390 0.01811
38  13 0.087660 0.01650
39  13 0.088040 0.01503
40  13 0.088370 0.01370
41  14 0.088730 0.01248
42  15 0.089190 0.01137
43  15 0.089550 0.01036
44  16 0.089830 0.00944
45  17 0.090080 0.00860
46  17 0.090400 0.00784
47  17 0.090660 0.00714
48  18 0.090880 0.00651
49  19 0.091070 0.00593
50  20 0.091190 0.00540
51  20 0.091340 0.00492
52  20 0.091460 0.00448
53  20 0.091550 0.00409
54  21 0.091650 0.00372
55  21 0.091740 0.00339
56  22 0.091890 0.00309
57  22 0.092000 0.00282
58  22 0.092070 0.00257
59  21 0.092210 0.00234
60  22 0.092230 0.00213
61  23 0.092340 0.00194
62  24 0.092400 0.00177
63  24 0.092470 0.00161
64  23 0.092520 0.00147
65  23 0.092530 0.00134
66  23 0.092540 0.00122
67  23 0.092560 0.00111
68  23 0.092580 0.00101
69  23 0.092590 0.00092
70  31 0.092610 0.00084
71  31 0.092620 0.00077
72  32 0.092630 0.00070
73  34 0.092700 0.00064
74  34 0.092700 0.00058
75  34 0.092700 0.00053
76  37 0.092790 0.00048
77  37 0.092790 0.00044
78  41 0.092810 0.00040
79  39 0.092830 0.00036
80  39 0.092850 0.00033
81  39 0.092870 0.00030
82  41 0.092890 0.00028
83  42 0.092900 0.00025
84  43 0.092910 0.00023
85  43 0.092920 0.00021
86  43 0.092930 0.00019
87  44 0.092930 0.00017
88  44 0.092950 0.00016
89  44 0.092950 0.00014
90  44 0.092960 0.00013
91  44 0.092960 0.00012
92  44 0.092970 0.00011
93  51 0.092970 0.00010
94  51 0.092970 0.00009
95  51 0.092980 0.00008
96  53 0.092980 0.00007
97  53 0.092980 0.00007
98  52 0.092980 0.00006
99  55 0.092990 0.00006
100 55 0.092990 0.00005
