
Call:  glmnet(x = x, y = y, alpha = 0.7, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 10.6600
2    1 0.00727  9.7160
3    1 0.01332  8.8530
4    1 0.01834  8.0670
5    1 0.02252  7.3500
6    1 0.02599  6.6970
7    1 0.02887  6.1020
8    1 0.03127  5.5600
9    1 0.03326  5.0660
10   2 0.03749  4.6160
11   2 0.04291  4.2060
12   2 0.04742  3.8320
13   2 0.05117  3.4920
14   2 0.05429  3.1820
15   2 0.05690  2.8990
16   2 0.05906  2.6410
17   2 0.06086  2.4070
18   2 0.06235  2.1930
19   2 0.06360  1.9980
20   2 0.06463  1.8210
21   2 0.06549  1.6590
22   2 0.06621  1.5120
23   2 0.06679  1.3770
24   2 0.06729  1.2550
25   2 0.06770  1.1430
26   3 0.06845  1.0420
27   4 0.06966  0.9493
28   4 0.07075  0.8649
29   4 0.07166  0.7881
30   4 0.07242  0.7181
31   4 0.07306  0.6543
32   4 0.07358  0.5962
33   4 0.07402  0.5432
34   4 0.07438  0.4950
35   4 0.07469  0.4510
36   5 0.07544  0.4109
37   5 0.07614  0.3744
38   5 0.07671  0.3412
39   5 0.07719  0.3108
40   5 0.07759  0.2832
41   6 0.08286  0.2581
42   7 0.09321  0.2351
43   7 0.10410  0.2143
44   8 0.11360  0.1952
45   9 0.12480  0.1779
46   9 0.13470  0.1621
47   9 0.14320  0.1477
48  10 0.15390  0.1346
49  10 0.16520  0.1226
50  11 0.17580  0.1117
51  12 0.18540  0.1018
52  14 0.19410  0.0928
53  16 0.20330  0.0845
54  18 0.21190  0.0770
55  20 0.22180  0.0702
56  20 0.23070  0.0639
57  23 0.23900  0.0582
58  25 0.24830  0.0531
59  30 0.25780  0.0484
60  31 0.26780  0.0441
61  33 0.27710  0.0402
62  33 0.28630  0.0366
63  34 0.29410  0.0333
64  35 0.30150  0.0304
65  35 0.30790  0.0277
66  38 0.31430  0.0252
67  39 0.32070  0.0230
68  40 0.32650  0.0209
69  42 0.33190  0.0191
70  43 0.33780  0.0174
71  45 0.34330  0.0158
72  46 0.34830  0.0144
73  46 0.35260  0.0132
74  46 0.35620  0.0120
75  46 0.35940  0.0109
76  47 0.36200  0.0099
77  47 0.36420  0.0091
78  47 0.36610  0.0083
79  47 0.36770  0.0075
80  48 0.36910  0.0069
81  48 0.37030  0.0062
82  48 0.37140  0.0057
83  48 0.37220  0.0052
84  48 0.37290  0.0047
85  48 0.37350  0.0043
86  47 0.37400  0.0039
87  47 0.37440  0.0036
88  47 0.37480  0.0033
89  46 0.37510  0.0030
90  46 0.37530  0.0027
91  46 0.37550  0.0025
92  46 0.37570  0.0022
93  46 0.37580  0.0020
94  46 0.37590  0.0019
95  46 0.37600  0.0017
96  46 0.37610  0.0015
97  47 0.37620  0.0014
98  47 0.37620  0.0013
99  47 0.37630  0.0012
100 47 0.37630  0.0011
