
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 102.100
2    1 0.004927  93.060
3    1 0.009260  84.800
4    1 0.013060  77.260
5    4 0.017490  70.400
6    4 0.022180  64.150
7    4 0.026170  58.450
8    5 0.030440  53.260
9    5 0.034150  48.520
10   5 0.037320  44.210
11   6 0.040170  40.290
12   6 0.042620  36.710
13   6 0.044700  33.450
14   6 0.046480  30.470
15   6 0.047980  27.770
16   5 0.049250  25.300
17   5 0.050330  23.050
18   5 0.051250  21.000
19   5 0.052020  19.140
20   5 0.052670  17.440
21   5 0.053230  15.890
22   5 0.053700  14.480
23   5 0.054090  13.190
24   5 0.054430  12.020
25   5 0.054720  10.950
26   5 0.054960   9.979
27   5 0.055160   9.093
28   5 0.055340   8.285
29   5 0.055490   7.549
30   5 0.055610   6.878
31   5 0.055720   6.267
32   5 0.055810   5.710
33   5 0.055890   5.203
34   5 0.055950   4.741
35   7 0.056470   4.320
36   8 0.058320   3.936
37   8 0.060250   3.586
38   8 0.062230   3.268
39   9 0.064450   2.977
40  11 0.067460   2.713
41  12 0.070940   2.472
42  12 0.074570   2.252
43  13 0.078320   2.052
44  13 0.082300   1.870
45  13 0.086270   1.704
46  13 0.090200   1.552
47  13 0.094090   1.415
48  12 0.097920   1.289
49  12 0.101700   1.174
50  13 0.105400   1.070
51  13 0.109000   0.975
52  13 0.112500   0.888
53  13 0.115900   0.809
54  13 0.119200   0.738
55  13 0.122300   0.672
56  13 0.125200   0.612
57  13 0.128100   0.558
58  14 0.130800   0.508
59  14 0.133300   0.463
60  15 0.135700   0.422
61  16 0.138000   0.384
62  17 0.140100   0.350
63  17 0.142100   0.319
64  17 0.143900   0.291
65  18 0.145600   0.265
66  18 0.147200   0.242
67  18 0.148700   0.220
68  18 0.150000   0.200
69  19 0.151200   0.183
70  19 0.152300   0.166
71  19 0.153300   0.152
72  19 0.154200   0.138
73  20 0.155100   0.126
74  20 0.155800   0.115
75  20 0.156500   0.104
76  20 0.157100   0.095
77  21 0.157600   0.087
78  21 0.158000   0.079
79  21 0.158500   0.072
80  21 0.158800   0.066
81  21 0.159100   0.060
82  21 0.159400   0.055
83  21 0.159700   0.050
84  21 0.159900   0.045
85  21 0.160100   0.041
86  21 0.160200   0.038
87  21 0.160400   0.034
88  21 0.160500   0.031
89  21 0.160600   0.028
90  21 0.160700   0.026
91  21 0.160800   0.024
92  21 0.160800   0.022
93  21 0.160900   0.020
94  22 0.160900   0.018
95  22 0.161000   0.016
96  22 0.161000   0.015
97  22 0.161000   0.014
98  23 0.161000   0.012
99  23 0.161100   0.011
100 23 0.161100   0.010
