
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = TRUE) 

    Df    %Dev  Lambda
1    0 0.00000 0.50180
2    1 0.00981 0.45720
3    1 0.01795 0.41660
4    1 0.02472 0.37960
5    1 0.03033 0.34590
6    2 0.03680 0.31510
7    3 0.04541 0.28710
8    5 0.05663 0.26160
9    6 0.06779 0.23840
10   8 0.07823 0.21720
11   9 0.08814 0.19790
12  11 0.09737 0.18030
13  12 0.10550 0.16430
14  13 0.11260 0.14970
15  16 0.11910 0.13640
16  16 0.12450 0.12430
17  18 0.12910 0.11330
18  18 0.13310 0.10320
19  18 0.13650 0.09403
20  20 0.13940 0.08567
21  19 0.14180 0.07806
22  18 0.14380 0.07113
23  19 0.14540 0.06481
24  19 0.14680 0.05905
25  19 0.14800 0.05381
26  19 0.14890 0.04903
27  19 0.14970 0.04467
28  19 0.15030 0.04070
29  19 0.15080 0.03709
30  19 0.15120 0.03379
31  20 0.15160 0.03079
32  22 0.15190 0.02805
33  22 0.15210 0.02556
34  23 0.15240 0.02329
35  23 0.15260 0.02122
36  22 0.15310 0.01934
37  22 0.15350 0.01762
38  22 0.15380 0.01605
39  23 0.15430 0.01463
40  24 0.15490 0.01333
41  24 0.15560 0.01214
42  26 0.15630 0.01107
43  26 0.15680 0.01008
44  29 0.15740 0.00919
45  32 0.15810 0.00837
46  31 0.15890 0.00763
47  32 0.15930 0.00695
48  34 0.16000 0.00633
49  35 0.16040 0.00577
50  36 0.16090 0.00526
51  36 0.16120 0.00479
52  37 0.16160 0.00436
53  38 0.16190 0.00398
54  39 0.16220 0.00362
55  40 0.16250 0.00330
56  42 0.16270 0.00301
57  44 0.16310 0.00274
58  43 0.16340 0.00250
59  45 0.16360 0.00228
60  44 0.16380 0.00207
61  46 0.16390 0.00189
62  48 0.16410 0.00172
63  54 0.16410 0.00157
64  53 0.16430 0.00143
65  54 0.16440 0.00130
66  53 0.16450 0.00119
67  54 0.16460 0.00108
68  55 0.16470 0.00098
69  57 0.16480 0.00090
70  60 0.16480 0.00082
71  61 0.16490 0.00075
72  65 0.16490 0.00068
73  63 0.16500 0.00062
74  65 0.16500 0.00056
75  65 0.16500 0.00051
76  66 0.16500 0.00047
77  68 0.16510 0.00043
78  69 0.16510 0.00039
79  69 0.16510 0.00035
80  71 0.16510 0.00032
81  71 0.16510 0.00029
82  73 0.16510 0.00027
83  71 0.16510 0.00024
84  72 0.16510 0.00022
85  74 0.16510 0.00020
86  77 0.16510 0.00018
87  78 0.16510 0.00017
88  78 0.16510 0.00015
89  79 0.16520 0.00014
90  84 0.16520 0.00013
91  87 0.16520 0.00012
92  88 0.16520 0.00011
93  90 0.16520 0.00010
94  91 0.16520 0.00009
95  90 0.16520 0.00008
96  91 0.16520 0.00007
97  91 0.16520 0.00007
98  93 0.16520 0.00006
99  98 0.16520 0.00006
100 99 0.16520 0.00005
