
Call:  glmnet(x = x, y = y, alpha = 0.95, family = "gaussian", standardize = TRUE) 

    Df     %Dev  Lambda
1    0 0.000000 0.52820
2    1 0.009703 0.48130
3    1 0.017780 0.43850
4    1 0.024510 0.39960
5    1 0.030110 0.36410
6    2 0.036570 0.33170
7    3 0.045160 0.30230
8    5 0.056380 0.27540
9    6 0.067550 0.25090
10   8 0.078000 0.22860
11   9 0.087920 0.20830
12  12 0.097150 0.18980
13  12 0.105300 0.17300
14  13 0.112400 0.15760
15  17 0.119000 0.14360
16  16 0.124400 0.13080
17  18 0.129000 0.11920
18  18 0.133000 0.10860
19  18 0.136400 0.09898
20  20 0.139300 0.09018
21  19 0.141700 0.08217
22  19 0.143700 0.07487
23  19 0.145400 0.06822
24  19 0.146800 0.06216
25  20 0.147900 0.05664
26  19 0.148900 0.05161
27  19 0.149600 0.04702
28  19 0.150300 0.04284
29  19 0.150800 0.03904
30  19 0.151200 0.03557
31  20 0.151600 0.03241
32  22 0.151900 0.02953
33  22 0.152100 0.02691
34  23 0.152300 0.02452
35  23 0.152600 0.02234
36  22 0.153100 0.02035
37  22 0.153500 0.01855
38  22 0.153800 0.01690
39  23 0.154300 0.01540
40  24 0.154900 0.01403
41  24 0.155600 0.01278
42  26 0.156300 0.01165
43  26 0.156800 0.01061
44  30 0.157400 0.00967
45  32 0.158100 0.00881
46  32 0.158800 0.00803
47  32 0.159300 0.00732
48  34 0.160000 0.00666
49  35 0.160400 0.00607
50  36 0.160900 0.00553
51  36 0.161200 0.00504
52  37 0.161600 0.00459
53  38 0.161900 0.00419
54  39 0.162200 0.00381
55  41 0.162500 0.00348
56  42 0.162800 0.00317
57  44 0.163100 0.00288
58  43 0.163400 0.00263
59  45 0.163600 0.00240
60  45 0.163800 0.00218
61  46 0.163900 0.00199
62  48 0.164100 0.00181
63  54 0.164100 0.00165
64  54 0.164300 0.00150
65  53 0.164400 0.00137
66  54 0.164500 0.00125
67  55 0.164600 0.00114
68  56 0.164700 0.00104
69  57 0.164800 0.00094
70  59 0.164800 0.00086
71  61 0.164900 0.00078
72  62 0.164900 0.00071
73  64 0.164900 0.00065
74  63 0.165000 0.00059
75  65 0.165000 0.00054
76  65 0.165000 0.00049
77  67 0.165000 0.00045
78  67 0.165100 0.00041
79  68 0.165100 0.00037
80  69 0.165100 0.00034
81  70 0.165100 0.00031
82  70 0.165100 0.00028
83  73 0.165100 0.00026
84  74 0.165100 0.00023
85  74 0.165100 0.00021
86  75 0.165100 0.00019
87  77 0.165100 0.00018
88  78 0.165100 0.00016
89  79 0.165100 0.00015
90  81 0.165100 0.00013
91  83 0.165200 0.00012
92  85 0.165200 0.00011
93  90 0.165200 0.00010
94  90 0.165200 0.00009
95  89 0.165200 0.00008
96  90 0.165200 0.00008
97  92 0.165200 0.00007
98  96 0.165200 0.00006
99  98 0.165200 0.00006
100 99 0.165200 0.00005
