
Call:  glmnet(x = x, y = y, alpha = 0.05, family = "gaussian", standardize = TRUE) 

     Df     %Dev  Lambda
1     0 0.000000 10.0400
2     1 0.001972  9.1440
3     1 0.004022  8.3320
4     1 0.006145  7.5920
5     1 0.008333  6.9170
6     2 0.010890  6.3030
7     5 0.015060  5.7430
8    10 0.021770  5.2330
9    16 0.030030  4.7680
10   23 0.038740  4.3440
11   30 0.048070  3.9580
12   35 0.057390  3.6070
13   40 0.066340  3.2860
14   47 0.074760  2.9940
15   49 0.082610  2.7280
16   53 0.089840  2.4860
17   54 0.096470  2.2650
18   52 0.102500  2.0640
19   51 0.108000  1.8810
20   49 0.113100  1.7130
21   48 0.117600  1.5610
22   47 0.121700  1.4230
23   46 0.125400  1.2960
24   44 0.128800  1.1810
25   44 0.131800  1.0760
26   43 0.134400  0.9805
27   42 0.136800  0.8934
28   41 0.138900  0.8140
29   40 0.140800  0.7417
30   39 0.142400  0.6758
31   38 0.143900  0.6158
32   36 0.145200  0.5611
33   35 0.146300  0.5112
34   35 0.147300  0.4658
35   34 0.148100  0.4244
36   34 0.148900  0.3867
37   33 0.149500  0.3524
38   31 0.150100  0.3211
39   32 0.150700  0.2926
40   35 0.151300  0.2666
41   35 0.152200  0.2429
42   37 0.152900  0.2213
43   39 0.153600  0.2016
44   41 0.154300  0.1837
45   41 0.154900  0.1674
46   45 0.155500  0.1525
47   47 0.156100  0.1390
48   48 0.156700  0.1266
49   51 0.157300  0.1154
50   53 0.157900  0.1051
51   54 0.158400  0.0958
52   55 0.158900  0.0873
53   56 0.159400  0.0795
54   57 0.159800  0.0725
55   59 0.160300  0.0660
56   62 0.160700  0.0602
57   63 0.161000  0.0548
58   69 0.161300  0.0500
59   70 0.161700  0.0455
60   72 0.162000  0.0415
61   73 0.162300  0.0378
62   75 0.162500  0.0344
63   78 0.162800  0.0314
64   78 0.163100  0.0286
65   79 0.163300  0.0260
66   78 0.163500  0.0237
67   79 0.163700  0.0216
68   80 0.163800  0.0197
69   81 0.164000  0.0180
70   81 0.164100  0.0164
71   83 0.164200  0.0149
72   84 0.164300  0.0136
73   84 0.164400  0.0124
74   85 0.164500  0.0113
75   84 0.164600  0.0103
76   84 0.164700  0.0094
77   86 0.164700  0.0085
78   86 0.164800  0.0078
79   89 0.164800  0.0071
80   92 0.164900  0.0065
81   92 0.164900  0.0059
82   94 0.164900  0.0054
83   95 0.164900  0.0049
84   97 0.165000  0.0044
85   96 0.165000  0.0041
86   97 0.165000  0.0037
87   98 0.165000  0.0034
88   98 0.165000  0.0031
89   99 0.165100  0.0028
90   98 0.165100  0.0025
91  100 0.165100  0.0023
92  101 0.165100  0.0021
93  100 0.165100  0.0019
94  101 0.165100  0.0018
95  102 0.165100  0.0016
96  101 0.165100  0.0015
97  103 0.165100  0.0013
98  106 0.165100  0.0012
99  105 0.165100  0.0011
100 107 0.165100  0.0010
