IC50,Cancer,Drug,EXP_SRC_X_EXP_PGR,MUT_RIOK1_EXP,GO_0030238,MUT_MAP3K10_EXP,PWY_R_HSA_556833_X_PWY_R_HSA_6804756,PWY_R_HSA_168638_EXP,PKA_182_ASA,PWY_R_HSA_372790_X_PWY_R_HSA_69481,GO_0000186_EXP_X_GO_0007050_EXP,PKA_282_HYD,PWY_R_HSA_198725_EXP,EXP_CDK12_X_EXP_GTF2H3,PKA_86_POL,EXP_SRC_X_EXP_DOCK2,SFAM_SCY1,MUT_MYLK,PWY_R_HSA_418594_EXP_X_PWY_R_HSA_8953897_EXP,GO_0051973_EXP_X_GO_2000772_EXP,REC_R_HSA_168053_EXP_X_REC_R_HSA_2400009_EXP,PKA_182_ENG,GO_0030155_EXP_X_GO_0043507_EXP,PWY_R_HSA_1989781_EXP_X_PWY_R_HSA_909733_EXP,CLS_gender_f,GO_0008354_EXP,MUT_KIT_EXP,EXP_SRC_X_EXP_ALB,GO_0008360_EXP_X_GO_0051402_EXP,GO_0030501_EXP_X_GO_0031100_EXP,PWY_R_HSA_162582_EXP_X_PWY_R_HSA_1989781_EXP,GO_0035556_CSV,PKA_113_HYD,PWY_R_HSA_449836_X_PWY_R_HSA_5683057,EXP_STK11_X_EXP_PTEN,GO_0000186_X_GO_0008283,EXP_SRC_X_EXP_ITGA4,GO_0030238_EXP,PWY_R_HSA_112314,PWY_R_HSA_6804756_EXP_X_PWY_R_HSA_69481_EXP,PWY_R_HSA_449836_X_PWY_R_HSA_5684996,PWY_R_HSA_372790_CSV,PKA_113_VOL,GO_0007143_EXP,PWY_R_HSA_74751_EXP,PKA_157_CSV,GO_0007346_CSV,PWY_R_HSA_1640170_EXP_X_PWY_R_HSA_449836_EXP,GO_0007165_CSV_X_GO_0045892_CSV,PWY_R_HSA_109704,Predicted IC50,Validation
4.041297,907057,152,11.967809933,0,0,0,0,0,0,0,0,0,0,22.778423967,0,12.417942392,0,0,0,0,0,0,0,0,0,3.4606456581,3.4606456581,10.937683406,0,0,0,0.774233,0,0,35.15662281,0,12.691595805,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4717191633,2
3.18768,907071,152,13.072287337,0,1,0,0,3.1654582352,0,0,0,0,3.1654582352,18.120600664,-1.5,15.056504707,0,1,18.356274228,0,0,0,0,0,0,0,0,61.532064532,0,0,0,0.675486,0,0,38.009311419,0,13.809138435,6.2258400947,0,0,0,0.616381,0,0,6.2258400947,0,0,0,0,0,2.6449504726,5
2.572306,909719,152,11.4961745,0,0,0,0,0,0,0,0,0,0,22.794533663,0,15.430224304,0,0,0,0,0,0,0,0,0,0,0,11.024463651,0,0,0,0,0,0,29.960527726,0,14.192784683,0,1,0,0,0,0,0,0,0,0,0,0,0,2.6675771346,6
0.667026,909736,152,11.098170436,0,0,0,0,4.4246786892,0.9,0,0,0,0,19.976538845,0,12.527525057,0,0,0,0,0,1.741,0,0,1,0,0,11.255530571,0,0,0,0.710628,0,0,30.774645075,0,12.053046667,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1918889925,3
1.289884,909737,152,12.162965996,0,0,0,1,0,0,0,0,0,3.7914783937,20.934557204,0,17.302334681,0,0,0,0,0,0,0,0,0,0,0,12.327529191,0,0,0,0.701491,0,0,32.687262133,0,13.392035147,0,0,0,0,0,0,0,7.4880879946,0,0,0,0,1,2.107961046,1
2.049962,909738,152,14.83606805,6.3293646119,0,0,0,0,0,0,0,0,0,20.000075596,0,19.196272912,0,2,0,0,0,0,0,0,0,0,0,13.830185676,0,0,0,0.717817,0,0,30.384325021,1,17.17402786,0,0,0,0,0,0,0,0,0.767588,0,0,0,0,2.4054746513,10
2.575443,909739,152,14.17598034,7.2995811231,1,0,0,0,0,0,0,0,0,25.025362893,0,17.195767361,0,0,0,0,0,0,0,0,0,0,0,13.812417572,0,47.022021528,0,0,0,1,27.637278847,0,24.706415931,2.810436057,1,0,0,0.809035,0,0,0,0,0,0,0,0,2.8478608895,9
5.550508,910850,152,18.646848965,0,0,0,0,0,0,0,0,0,0,22.186871626,0,19.072973892,0,0,0,0,13.07412833,0,0,0,0,0,0,82.117995399,0,0,0,0,0,0,34.177746159,0,19.367759916,0,0,31.383643115,0,0,0,5.6021105947,0,0,0,0,0,0,3.6257402931,7
4.02739,1240159,152,17.463050333,0,0,0,0,0,0,0,0,0,0,28.872120037,2.9,20.540044158,0,0,0,0,0,0,0,0,1,0,0,17.573295139,0,0,0,0,0,0,31.510245599,0,19.55423926,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2122241546,9
2.760966,1240160,152,15.016531703,0,0,0,1,0,0,0,0,0,3.9547628675,23.950923794,0,16.822303768,1,0,0,0,0,0,0,30.937736518,0,0,0,68.233525079,0,0,223.644307,0.730375,0,0,33.427065139,0,16.376260917,0,1,0,0,0.729586,0,0,9.2961878149,0,0,0,0,1,2.3253183718,9
