IC50,Cancer,Drug,PKA_119_CSV_X_Fingerprint_676,Fingerprint_798,PWY_R_HSA_2029482,PWY_R_HSA_166016,PWY_R_HSA_1266738_X_PWY_R_HSA_446652,PWY_R_HSA_109606_EXP,REC_R_HSA_1358791_EXP_X_REC_R_HSA_198640_EXP,GO_0000186_EXP_X_GO_0051493_EXP,GO_0007399_EXP_X_GO_0032526_EXP,PKA_196_EXP,REC_R_HSA_198284_X_REC_R_HSA_3928647,PWY_R_HSA_194138_CSV,PKA_295_CHA,GO_0007420_EXP_X_GO_0031529_EXP,GO_0007528_EXP,GO_0030155_EXP,GO_0010613_EXP_X_GO_0043330_EXP,EXP_TRPM6,GO_0007613_X_GO_0014066,REC_R_HSA_199839_X_REC_R_HSA_429698,REC_R_HSA_109858_X_REC_R_HSA_8855915,GO_0038083_X_GO_1902533,GO_0045071,GO_0042127,EXP_GRK2_X_EXP_F2RL2,PWY_R_HSA_166016_X_PWY_R_HSA_3928662,GO_0034614,PWY_R_HSA_193704_EXP_X_PWY_R_HSA_450321_EXP,GO_0045892_EXP,GO_0050852_EXP,SFAM_GEK_EXP,REC_R_HSA_198640_EXP,PWY_R_HSA_3928662_X_PWY_R_HSA_450321,EXP_GRK2_X_EXP_GNG12,GO_0034599_EXP,GO_0008340_EXP_X_GO_0031529_EXP,GO_0030168_EXP,EXP_ABL1_X_EXP_CDH2,GO_0006914_EXP,Fingerprint_809,GO_0006366_EXP_X_GO_0071345_EXP,REC_R_HSA_2316434_EXP,GO_2001028_EXP,MUT_CSF1R_EXP,PWY_R_HSA_556833_X_PWY_R_HSA_9006934,PKA_252_POL,PWY_R_HSA_5218921_EXP_X_PWY_R_HSA_8939211_EXP,PWY_R_HSA_446652_X_PWY_R_HSA_5218921,REC_R_HSA_112379_EXP_X_REC_R_HSA_194913_EXP,GO_2000378_EXP,GO_0006464_EXP,REC_R_HSA_141409_EXP_X_REC_R_HSA_3928588_EXP,PWY_R_HSA_449836_EXP_X_PWY_R_HSA_5684996_EXP,REC_R_HSA_5683735_EXP_X_REC_R_HSA_751040_EXP,PWY_R_HSA_109581_X_PWY_R_HSA_194313,GO_0007528,MUT_BRD2_EXP,MUT_ALPK3_EXP,PWY_R_HSA_4420097_X_PWY_R_HSA_450321,REC_R_HSA_1358791_X_REC_R_HSA_5672965,GO_1901727,PKA_194_CHA,PWY_R_HSA_194138_EXP_X_PWY_R_HSA_5218921_EXP,PWY_R_HSA_5693565_EXP_X_PWY_R_HSA_8878171_EXP,MUT_TTN_EXP,EXP_ABL1_X_EXP_CDKN1B,PKA_189_VOL,GO_0045087,Predicted IC50,Validation
2.213727,753552,1,0,1,0,0,0,0,0,0,0,0,0,0.789683,0,0,14.015097289,0,0,2.9205399336,0,0,0,0,0,0,11.985831016,0,0,0,0,0,0,0,0,28.278893519,0,0,3.0057349407,14.793421282,3.9335549681,0,0,14.015097289,0,0,5,0,0,0,22.307760733,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,36.055983093,0,0,2.4242842106,9
4.642403,753552,5,0,0,0,0,0,0,0,0,0,0,0,0.789683,0,0,14.015097289,0,0,2.9205399336,0,0,0,0,0,0,11.985831016,0,0,0,0,0,0,0,0,28.278893519,0,0,3.0057349407,14.793421282,3.9335549681,0,0,14.015097289,0,0,5,0,0,0,22.307760733,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,36.055983093,0,0,2.3611948452,3
3.207719,753552,6,0,0,0,0,0,0,0,0,0,0,0,0.789683,0,0,14.015097289,0,0,2.9205399336,0,0,0,0,0,0,11.985831016,0,0,0,0,0,0,0,0,28.278893519,0,0,3.0057349407,14.793421282,3.9335549681,0,0,14.015097289,0,0,5,0,0,0,22.307760733,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,36.055983093,0,0,2.3611948452,6
1.584378,753552,29,0,0,0,0,0,0,0,0,0,0,0,0.789683,0,0,14.015097289,0,0,2.9205399336,0,0,0,0,0,0,11.985831016,0,0,0,0,0,0,0,0,28.278893519,0,0,3.0057349407,14.793421282,3.9335549681,0,0,14.015097289,0,0,5,0,0,0,22.307760733,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,36.055983093,0,0,2.3611948452,9
2.750079,753552,30,0,0,0,0,0,0,0,0,0,0,0,0.789683,0,0,14.015097289,0,0,2.9205399336,0,0,0,0,0,0,11.985831016,0,0,0,0,0,0,0,0,28.278893519,0,0,3.0057349407,14.793421282,3.9335549681,0,0,14.015097289,0,0,5,0,0,0,22.307760733,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,36.055983093,0,0,2.3611948452,7
3.064314,753552,34,0,0,0,0,0,0,0,0,0,0,0,0.789683,0,0,14.015097289,0,0,2.9205399336,0,0,0,0,0,0,11.985831016,0,0,0,0,0,0,0,0,28.278893519,0,0,3.0057349407,14.793421282,3.9335549681,0,0,14.015097289,0,0,5,0,0,0,22.307760733,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,36.055983093,0,0,2.3611948452,7
1.636334,753552,35,0,0,0,0,0,0,0,0,0,0,0,0.789683,0,0,14.015097289,0,0,2.9205399336,0,0,0,0,0,0,11.985831016,0,0,0,0,0,0,0,0,28.278893519,0,0,3.0057349407,14.793421282,3.9335549681,0,0,14.015097289,0,0,5,0,0,0,22.307760733,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,36.055983093,0,0,2.3611948452,6
3.129464,753552,37,0,0,0,0,0,0,0,0,0,0,0,0.789683,0,0,14.015097289,0,0,2.9205399336,0,0,0,0,0,0,11.985831016,0,0,0,0,0,0,0,0,28.278893519,0,0,3.0057349407,14.793421282,3.9335549681,0,0,14.015097289,0,0,5,0,0,0,22.307760733,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,36.055983093,0,0,2.3611948452,8
2.307553,753552,38,0,0,0,0,0,0,0,0,0,0,0,0.789683,0,0,14.015097289,0,0,2.9205399336,0,0,0,0,0,0,11.985831016,0,0,0,0,0,0,0,0,28.278893519,0,0,3.0057349407,14.793421282,3.9335549681,0,0,14.015097289,0,0,5,0,0,0,22.307760733,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,36.055983093,0,0,2.3611948452,10
-1.628119,753552,51,0,0,0,0,0,0,0,0,0,0,0,0.789683,0,0,14.015097289,0,0,2.9205399336,0,0,0,0,0,0,11.985831016,0,0,0,0,0,0,0,0,28.278893519,0,0,3.0057349407,14.793421282,3.9335549681,0,0,14.015097289,0,0,5,0,0,0,22.307760733,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,36.055983093,0,0,2.3611948452,9
