
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 9.2690
2    1 0.002838 8.4450
3    1 0.005194 7.6950
4    1 0.007150 7.0110
5    1 0.008774 6.3890
6    1 0.010120 5.8210
7    1 0.011240 5.3040
8    1 0.012170 4.8330
9    1 0.012940 4.4030
10   1 0.013580 4.0120
11   1 0.014120 3.6560
12   2 0.015220 3.3310
13   3 0.017870 3.0350
14   3 0.020080 2.7650
15   3 0.021920 2.5200
16   3 0.023440 2.2960
17   4 0.026890 2.0920
18   4 0.030980 1.9060
19   5 0.034380 1.7370
20   7 0.038060 1.5830
21   8 0.041700 1.4420
22   8 0.045050 1.3140
23   8 0.047830 1.1970
24   8 0.050140 1.0910
25   8 0.052060 0.9939
26   9 0.053750 0.9056
27   9 0.055650 0.8251
28   9 0.057220 0.7518
29  10 0.058970 0.6850
30  10 0.060590 0.6242
31  10 0.061930 0.5687
32  11 0.063750 0.5182
33  12 0.065370 0.4722
34  12 0.066730 0.4302
35  12 0.067860 0.3920
36  12 0.068800 0.3572
37  12 0.069580 0.3254
38  12 0.070240 0.2965
39  12 0.070780 0.2702
40  13 0.071330 0.2462
41  13 0.072020 0.2243
42  13 0.072590 0.2044
43  14 0.074350 0.1862
44  15 0.078850 0.1697
45  18 0.083190 0.1546
46  18 0.092770 0.1409
47  18 0.100700 0.1284
48  18 0.107300 0.1170
49  19 0.114200 0.1066
50  19 0.120300 0.0971
51  24 0.127400 0.0885
52  26 0.139700 0.0806
53  27 0.150900 0.0734
54  27 0.160300 0.0669
55  30 0.168600 0.0610
56  33 0.177800 0.0556
57  34 0.185600 0.0506
58  36 0.193800 0.0461
59  36 0.201900 0.0420
60  37 0.210000 0.0383
61  37 0.218800 0.0349
62  37 0.226200 0.0318
63  38 0.232400 0.0290
64  39 0.237600 0.0264
65  40 0.242200 0.0240
66  41 0.246100 0.0219
67  46 0.250800 0.0200
68  46 0.256800 0.0182
69  47 0.261700 0.0166
70  50 0.267100 0.0151
71  51 0.271900 0.0138
72  55 0.276000 0.0125
73  58 0.280000 0.0114
74  59 0.284200 0.0104
75  60 0.287800 0.0095
76  60 0.290800 0.0086
77  61 0.293400 0.0079
78  61 0.295700 0.0072
79  61 0.297500 0.0065
80  63 0.299100 0.0060
81  64 0.300500 0.0054
82  64 0.301900 0.0049
83  64 0.303100 0.0045
84  64 0.304200 0.0041
85  68 0.305500 0.0037
86  69 0.306700 0.0034
87  72 0.307900 0.0031
88  71 0.308900 0.0028
89  73 0.309800 0.0026
90  73 0.310600 0.0024
91  75 0.311200 0.0021
92  77 0.311700 0.0020
93  80 0.312200 0.0018
94  81 0.312600 0.0016
95  82 0.313000 0.0015
96  82 0.313300 0.0013
97  82 0.313500 0.0012
98  82 0.313800 0.0011
99  84 0.314000 0.0010
100 86 0.314100 0.0009
