
Call:  glmnet(x = x, y = y, alpha = 0.8, family = "gaussian", standardize = TRUE) 

    Df     %Dev  Lambda
1    0 0.000000 0.53520
2    2 0.006157 0.48760
3    5 0.017770 0.44430
4    7 0.032390 0.40480
5   11 0.048040 0.36890
6   17 0.067620 0.33610
7   19 0.087570 0.30620
8   21 0.105400 0.27900
9   22 0.121000 0.25420
10  27 0.139600 0.23170
11  31 0.158700 0.21110
12  33 0.176900 0.19230
13  37 0.193900 0.17520
14  49 0.209600 0.15970
15  54 0.223500 0.14550
16  56 0.235400 0.13260
17  57 0.245400 0.12080
18  60 0.254300 0.11010
19  62 0.261800 0.10030
20  64 0.268200 0.09137
21  64 0.273700 0.08325
22  68 0.278300 0.07586
23  71 0.282200 0.06912
24  72 0.286000 0.06298
25  71 0.289200 0.05738
26  73 0.291800 0.05229
27  75 0.294100 0.04764
28  76 0.296200 0.04341
29  79 0.298200 0.03955
30  81 0.300400 0.03604
31  82 0.302500 0.03284
32  82 0.304400 0.02992
33  82 0.305900 0.02726
34  82 0.307200 0.02484
35  83 0.308300 0.02263
36  83 0.309200 0.02062
37  82 0.309900 0.01879
38  83 0.310600 0.01712
39  84 0.311300 0.01560
40  84 0.311800 0.01421
41  83 0.312300 0.01295
42  82 0.312700 0.01180
43  82 0.313100 0.01075
44  82 0.313400 0.00980
45  82 0.313600 0.00893
46  82 0.313800 0.00813
47  82 0.313900 0.00741
48  85 0.314100 0.00675
49  85 0.314200 0.00615
50  85 0.314300 0.00561
51  85 0.314400 0.00511
52  85 0.314500 0.00466
53  86 0.314500 0.00424
54  86 0.314600 0.00386
55  89 0.314600 0.00352
56  88 0.314700 0.00321
57  90 0.314700 0.00292
58  89 0.314700 0.00266
59  90 0.314800 0.00243
60  90 0.314800 0.00221
61  91 0.314800 0.00202
62  91 0.314800 0.00184
63  92 0.314800 0.00167
64  92 0.314900 0.00152
65  94 0.314900 0.00139
66  94 0.314900 0.00126
67  96 0.314900 0.00115
68  95 0.314900 0.00105
69  94 0.314900 0.00096
70  97 0.314900 0.00087
71  97 0.314900 0.00079
72  99 0.314900 0.00072
73 102 0.314900 0.00066
