
Call:  glmnet(x = x, y = y, alpha = 0.9, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.3000
2    1 0.002837  9.3840
3    1 0.005192  8.5500
4    1 0.007148  7.7910
5    1 0.008772  7.0980
6    1 0.010120  6.4680
7    1 0.011240  5.8930
8    1 0.012170  5.3700
9    1 0.012940  4.8930
10   1 0.013580  4.4580
11   1 0.014110  4.0620
12   2 0.015220  3.7010
13   3 0.017870  3.3720
14   3 0.020080  3.0730
15   3 0.021910  2.8000
16   3 0.023440  2.5510
17   4 0.026880  2.3240
18   4 0.030970  2.1180
19   5 0.034370  1.9300
20   7 0.038040  1.7580
21   8 0.041690  1.6020
22   8 0.045040  1.4600
23   8 0.047820  1.3300
24   8 0.050130  1.2120
25   8 0.052050  1.1040
26   9 0.053750  1.0060
27   9 0.055640  0.9168
28   9 0.057210  0.8354
29  10 0.058960  0.7611
30  10 0.060580  0.6935
31  10 0.061930  0.6319
32  11 0.063740  0.5758
33  12 0.065360  0.5246
34  12 0.066720  0.4780
35  12 0.067850  0.4356
36  12 0.068790  0.3969
37  12 0.069570  0.3616
38  12 0.070230  0.3295
39  12 0.070780  0.3002
40  13 0.071330  0.2735
41  13 0.072010  0.2492
42  13 0.072580  0.2271
43  14 0.074300  0.2069
44  15 0.078690  0.1885
45  18 0.082950  0.1718
46  18 0.092320  0.1565
47  18 0.100200  0.1426
48  18 0.106700  0.1300
49  19 0.113600  0.1184
50  19 0.119700  0.1079
51  24 0.126500  0.0983
52  26 0.138500  0.0896
53  27 0.149600  0.0816
54  27 0.159000  0.0744
55  30 0.167400  0.0678
56  34 0.176600  0.0617
57  34 0.184400  0.0562
58  36 0.192500  0.0513
59  36 0.200500  0.0467
60  36 0.208600  0.0426
61  37 0.217300  0.0388
62  38 0.224800  0.0353
63  38 0.231000  0.0322
64  39 0.236400  0.0293
65  40 0.241000  0.0267
66  41 0.245100  0.0244
67  46 0.249800  0.0222
68  46 0.255600  0.0202
69  47 0.260500  0.0184
70  50 0.265800  0.0168
71  52 0.270600  0.0153
72  55 0.274700  0.0139
73  58 0.278700  0.0127
74  59 0.282900  0.0116
75  60 0.286600  0.0105
76  60 0.289700  0.0096
77  61 0.292400  0.0088
78  61 0.294700  0.0080
79  61 0.296700  0.0073
80  63 0.298400  0.0066
81  63 0.299800  0.0060
82  64 0.301200  0.0055
83  65 0.302500  0.0050
84  65 0.303700  0.0046
85  68 0.305000  0.0042
86  70 0.306300  0.0038
87  72 0.307500  0.0035
88  71 0.308500  0.0031
89  73 0.309500  0.0029
90  73 0.310300  0.0026
91  75 0.310900  0.0024
92  77 0.311500  0.0022
93  79 0.312000  0.0020
94  81 0.312400  0.0018
95  82 0.312800  0.0016
96  82 0.313100  0.0015
97  82 0.313400  0.0014
98  82 0.313700  0.0012
99  84 0.313900  0.0011
100 86 0.314000  0.0010
