
Call:  glmnet(x = x, y = y, alpha = 0.45, family = "gaussian", standardize = FALSE) 

     Df     %Dev  Lambda
1     0 0.000000 10.8200
2     2 0.003897  9.8600
3     2 0.008076  8.9840
4     2 0.011550  8.1860
5     2 0.014440  7.4590
6     3 0.017870  6.7960
7     3 0.021460  6.1920
8     4 0.024540  5.6420
9     5 0.027800  5.1410
10    5 0.030690  4.6840
11    5 0.033110  4.2680
12    7 0.035230  3.8890
13    7 0.037690  3.5440
14    7 0.040300  3.2290
15    7 0.042470  2.9420
16    7 0.044270  2.6810
17    9 0.046090  2.4420
18   10 0.048210  2.2250
19   11 0.050300  2.0280
20   12 0.052080  1.8480
21   12 0.053790  1.6830
22   15 0.055440  1.5340
23   16 0.057630  1.3980
24   16 0.059400  1.2730
25   16 0.060870  1.1600
26   20 0.062720  1.0570
27   20 0.064620  0.9633
28   19 0.066200  0.8778
29   20 0.067570  0.7998
30   19 0.068720  0.7287
31   20 0.069690  0.6640
32   20 0.070760  0.6050
33   19 0.071600  0.5513
34   19 0.072290  0.5023
35   20 0.073020  0.4577
36   22 0.073960  0.4170
37   22 0.075110  0.3800
38   23 0.076190  0.3462
39   24 0.084380  0.3155
40   31 0.092020  0.2874
41   31 0.099310  0.2619
42   34 0.106200  0.2386
43   40 0.113800  0.2174
44   41 0.121800  0.1981
45   44 0.128900  0.1805
46   45 0.135200  0.1645
47   47 0.140700  0.1499
48   49 0.145500  0.1366
49   53 0.149800  0.1244
50   56 0.153400  0.1134
51   57 0.156600  0.1033
52   58 0.159300  0.0941
53   60 0.161600  0.0858
54   59 0.163700  0.0781
55   61 0.165500  0.0712
56   62 0.167100  0.0649
57   63 0.168500  0.0591
58   64 0.169600  0.0539
59   66 0.170600  0.0491
60   67 0.171500  0.0447
61   69 0.172100  0.0407
62   71 0.172900  0.0371
63   71 0.173500  0.0338
64   70 0.173900  0.0308
65   71 0.174300  0.0281
66   73 0.174600  0.0256
67   75 0.174900  0.0233
68   75 0.175200  0.0212
69   78 0.175400  0.0194
70   81 0.175600  0.0176
71   81 0.175700  0.0161
72   81 0.175900  0.0146
73   83 0.176000  0.0133
74   85 0.176100  0.0122
75   90 0.176200  0.0111
76   91 0.176200  0.0101
77   92 0.176300  0.0092
78   92 0.176300  0.0084
79   93 0.176400  0.0076
80   94 0.176400  0.0070
81   97 0.176400  0.0063
82  100 0.176500  0.0058
83  100 0.176500  0.0053
84  100 0.176500  0.0048
85  101 0.176500  0.0044
86  103 0.176500  0.0040
87  105 0.176500  0.0036
88  106 0.176600  0.0033
89  107 0.176600  0.0030
90  112 0.176600  0.0027
91  113 0.176600  0.0025
92  117 0.176600  0.0023
93  117 0.176600  0.0021
94  117 0.176600  0.0019
95  117 0.176600  0.0017
96  118 0.176600  0.0016
97  119 0.176600  0.0014
98  121 0.176600  0.0013
99  122 0.176600  0.0012
100 124 0.176600  0.0011
