
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 10.6400
2    1 0.00382  9.6970
3    1 0.00698  8.8360
4    1 0.00961  8.0510
5    1 0.01180  7.3350
6    1 0.01361  6.6840
7    1 0.01511  6.0900
8    1 0.01636  5.5490
9    2 0.01923  5.0560
10   2 0.02330  4.6070
11   2 0.02667  4.1980
12   2 0.02948  3.8250
13   2 0.03180  3.4850
14   2 0.03373  3.1750
15   2 0.03534  2.8930
16   2 0.03667  2.6360
17   3 0.03790  2.4020
18   3 0.04172  2.1890
19   3 0.04488  1.9940
20   3 0.04750  1.8170
21   3 0.04967  1.6560
22   3 0.05148  1.5090
23   3 0.05298  1.3750
24   3 0.05423  1.2520
25   3 0.05526  1.1410
26   4 0.05649  1.0400
27   4 0.05757  0.9474
28   4 0.05847  0.8632
29   4 0.05921  0.7866
30   4 0.05983  0.7167
31   4 0.06035  0.6530
32   4 0.06077  0.5950
33   5 0.06168  0.5421
34   5 0.06254  0.4940
35   5 0.06325  0.4501
36   5 0.06384  0.4101
37   5 0.06433  0.3737
38   5 0.06474  0.3405
39   5 0.06508  0.3102
40   5 0.06536  0.2827
41   5 0.06560  0.2576
42   6 0.06621  0.2347
43   7 0.06688  0.2138
44   7 0.06744  0.1948
45   8 0.06805  0.1775
46  12 0.08079  0.1618
47  12 0.09236  0.1474
48  12 0.10190  0.1343
49  13 0.10990  0.1224
50  13 0.11670  0.1115
51  14 0.12240  0.1016
52  16 0.12850  0.0926
53  16 0.13450  0.0843
54  18 0.14390  0.0768
55  18 0.15350  0.0700
56  21 0.16280  0.0638
57  21 0.17200  0.0581
58  21 0.17960  0.0530
59  23 0.18610  0.0483
60  24 0.19270  0.0440
61  25 0.19900  0.0401
62  28 0.20590  0.0365
63  29 0.21230  0.0333
64  33 0.21930  0.0303
65  34 0.22770  0.0276
66  35 0.23590  0.0252
67  36 0.24380  0.0229
68  43 0.25440  0.0209
69  48 0.26830  0.0190
70  49 0.28050  0.0173
71  50 0.29050  0.0158
72  52 0.29910  0.0144
73  56 0.30720  0.0131
74  56 0.31410  0.0120
75  57 0.32020  0.0109
76  59 0.32570  0.0099
77  61 0.33050  0.0090
78  63 0.33530  0.0082
79  64 0.33970  0.0075
80  66 0.34340  0.0068
81  68 0.34650  0.0062
82  70 0.34940  0.0057
83  70 0.35220  0.0052
84  70 0.35460  0.0047
85  72 0.35680  0.0043
86  74 0.35870  0.0039
87  74 0.36050  0.0036
88  75 0.36200  0.0032
89  75 0.36330  0.0030
90  75 0.36440  0.0027
91  75 0.36530  0.0025
92  75 0.36610  0.0022
93  76 0.36670  0.0020
94  77 0.36730  0.0019
95  77 0.36770  0.0017
96  79 0.36810  0.0015
97  79 0.36840  0.0014
98  79 0.36870  0.0013
99  79 0.36900  0.0012
100 80 0.36910  0.0011
