
Call:  glmnet(x = x, y = y, alpha = 0.01, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 1064.00
2    1 0.002744  969.70
3    1 0.005214  883.60
4    1 0.007427  805.10
5    1 0.009399  733.50
6    1 0.011150  668.40
7    1 0.012690  609.00
8    1 0.014050  554.90
9    2 0.016800  505.60
10   2 0.019590  460.70
11   2 0.022130  419.80
12   2 0.024450  382.50
13   2 0.026560  348.50
14   2 0.028480  317.50
15   2 0.030210  289.30
16   2 0.031770  263.60
17   3 0.034150  240.20
18   3 0.036430  218.90
19   3 0.038540  199.40
20   4 0.040630  181.70
21   4 0.042620  165.60
22   5 0.044580  150.90
23   5 0.046490  137.50
24   5 0.048210  125.20
25   5 0.049770  114.10
26   5 0.051190  104.00
27   6 0.052480   94.74
28   6 0.053660   86.32
29   6 0.054720   78.66
30   6 0.055660   71.67
31   6 0.056510   65.30
32   6 0.057260   59.50
33   7 0.058000   54.21
34   7 0.058930   49.40
35   7 0.059770   45.01
36   7 0.060550   41.01
37   7 0.061260   37.37
38   6 0.061900   34.05
39   6 0.062480   31.02
40   7 0.063080   28.27
41   7 0.063700   25.76
42   7 0.064250   23.47
43   7 0.064770   21.38
44  10 0.065370   19.48
45  10 0.066100   17.75
46  12 0.067080   16.18
47  13 0.068110   14.74
48  13 0.069160   13.43
49  15 0.070280   12.24
50  17 0.071610   11.15
51  18 0.073130   10.16
52  18 0.074710    9.26
53  19 0.076330    8.43
54  20 0.078100    7.68
55  21 0.079960    7.00
56  21 0.081940    6.38
57  23 0.084010    5.81
58  24 0.086230    5.30
59  26 0.088580    4.83
60  26 0.091060    4.40
61  28 0.093620    4.01
62  33 0.096420    3.65
63  33 0.099360    3.33
64  35 0.102400    3.03
65  38 0.105700    2.76
66  39 0.109000    2.52
67  42 0.112600    2.29
68  46 0.116300    2.09
69  48 0.120100    1.90
70  52 0.124200    1.73
71  53 0.128300    1.58
72  55 0.132600    1.44
73  58 0.137100    1.31
74  59 0.141700    1.20
75  60 0.146300    1.09
76  61 0.151100    0.99
77  64 0.156000    0.90
78  64 0.161000    0.82
79  65 0.166100    0.75
80  67 0.171200    0.68
81  67 0.176400    0.62
82  70 0.181600    0.57
83  71 0.186900    0.52
84  72 0.192300    0.47
85  72 0.197700    0.43
86  73 0.203100    0.39
87  75 0.208500    0.36
88  77 0.214000    0.32
89  78 0.219500    0.30
90  79 0.224900    0.27
91  79 0.230400    0.25
92  80 0.235800    0.22
93  81 0.241200    0.20
94  81 0.246600    0.19
95  81 0.251900    0.17
96  81 0.257200    0.15
97  81 0.262400    0.14
98  81 0.267600    0.13
99  81 0.272700    0.12
100 82 0.277700    0.11
