
Call:  glmnet(x = x, y = y, alpha = 0.04, family = "gaussian", standardize = TRUE) 

     Df    %Dev  Lambda
1     0 0.00000 10.7700
2     1 0.00134  9.8160
3     1 0.00274  8.9440
4     2 0.00422  8.1490
5     4 0.00708  7.4250
6     7 0.01165  6.7660
7    10 0.01745  6.1650
8    13 0.02438  5.6170
9    32 0.03437  5.1180
10   51 0.04727  4.6630
11   66 0.06244  4.2490
12   77 0.07924  3.8720
13   89 0.09673  3.5280
14  104 0.11420  3.2140
15  114 0.13180  2.9290
16  120 0.14910  2.6690
17  133 0.16570  2.4320
18  143 0.18200  2.2160
19  146 0.19740  2.0190
20  151 0.21180  1.8390
21  155 0.22530  1.6760
22  157 0.23770  1.5270
23  161 0.24930  1.3910
24  163 0.26000  1.2680
25  171 0.26980  1.1550
26  172 0.27890  1.0530
27  171 0.28720  0.9590
28  170 0.29480  0.8738
29  169 0.30160  0.7962
30  170 0.30790  0.7255
31  169 0.31350  0.6610
32  168 0.31860  0.6023
33  169 0.32310  0.5488
34  169 0.32740  0.5000
35  166 0.33130  0.4556
36  164 0.33480  0.4151
37  164 0.33800  0.3783
38  164 0.34080  0.3447
39  162 0.34340  0.3140
40  162 0.34560  0.2861
41  158 0.34760  0.2607
42  157 0.34940  0.2376
43  158 0.35100  0.2165
44  156 0.35240  0.1972
45  152 0.35370  0.1797
46  152 0.35480  0.1637
47  151 0.35580  0.1492
48  151 0.35670  0.1359
49  150 0.35750  0.1239
50  148 0.35810  0.1129
51  148 0.35880  0.1028
52  152 0.35930  0.0937
53  157 0.35980  0.0854
54  155 0.36030  0.0778
55  156 0.36070  0.0709
56  157 0.36100  0.0646
57  157 0.36130  0.0588
58  158 0.36160  0.0536
59  162 0.36180  0.0488
60  161 0.36200  0.0445
61  160 0.36230  0.0406
62  161 0.36240  0.0370
63  164 0.36260  0.0337
64  167 0.36270  0.0307
65  166 0.36280  0.0280
66  164 0.36290  0.0255
67  164 0.36300  0.0232
68  169 0.36310  0.0212
69  172 0.36310  0.0193
70  174 0.36320  0.0176
71  178 0.36330  0.0160
72  181 0.36330  0.0146
73  180 0.36340  0.0133
74  180 0.36340  0.0121
75  182 0.36350  0.0110
76  182 0.36350  0.0100
77  184 0.36350  0.0092
78  187 0.36360  0.0083
79  188 0.36360  0.0076
80  190 0.36360  0.0069
81  190 0.36360  0.0063
82  192 0.36370  0.0057
83  195 0.36370  0.0052
84  195 0.36370  0.0048
85  197 0.36370  0.0043
86  198 0.36370  0.0040
87  199 0.36380  0.0036
88  197 0.36380  0.0033
89  198 0.36390  0.0030
90  199 0.36390  0.0027
91  199 0.36390  0.0025
92  199 0.36390  0.0023
93  199 0.36390  0.0021
94  200 0.36390  0.0019
95  200 0.36400  0.0017
96  201 0.36400  0.0016
97  200 0.36400  0.0014
98  202 0.36400  0.0013
99  203 0.36400  0.0012
100 204 0.36400  0.0011
