
Call:  glmnet(x = x, y = y, alpha = 0.1, family = "gaussian", standardize = TRUE) 

     Df    %Dev Lambda
1     0 0.00000 4.3090
2     1 0.00272 3.9260
3     1 0.00541 3.5780
4     2 0.00810 3.2600
5     3 0.01299 2.9700
6     7 0.01984 2.7060
7     7 0.02808 2.4660
8    13 0.03739 2.2470
9    18 0.05009 2.0470
10   38 0.06601 1.8650
11   50 0.08582 1.7000
12   65 0.10720 1.5490
13   71 0.12880 1.4110
14   79 0.14940 1.2860
15   85 0.16910 1.1720
16   95 0.18810 1.0670
17  105 0.20590 0.9726
18  113 0.22310 0.8862
19  121 0.23890 0.8075
20  123 0.25310 0.7357
21  126 0.26570 0.6704
22  129 0.27700 0.6108
23  130 0.28710 0.5566
24  134 0.29600 0.5071
25  142 0.30390 0.4621
26  143 0.31090 0.4210
27  142 0.31700 0.3836
28  142 0.32230 0.3495
29  141 0.32690 0.3185
30  143 0.33100 0.2902
31  141 0.33480 0.2644
32  141 0.33810 0.2409
33  140 0.34100 0.2195
34  141 0.34370 0.2000
35  142 0.34610 0.1822
36  141 0.34820 0.1661
37  143 0.35000 0.1513
38  140 0.35170 0.1379
39  140 0.35320 0.1256
40  143 0.35440 0.1145
41  144 0.35550 0.1043
42  145 0.35640 0.0950
43  144 0.35720 0.0866
44  142 0.35790 0.0789
45  141 0.35850 0.0719
46  140 0.35900 0.0655
47  141 0.35950 0.0597
48  142 0.36000 0.0544
49  141 0.36030 0.0495
50  143 0.36070 0.0451
51  144 0.36100 0.0411
52  148 0.36130 0.0375
53  147 0.36150 0.0342
54  147 0.36180 0.0311
55  148 0.36200 0.0284
56  149 0.36220 0.0258
57  152 0.36230 0.0235
58  152 0.36250 0.0214
59  154 0.36260 0.0195
60  152 0.36270 0.0178
61  150 0.36290 0.0162
62  150 0.36290 0.0148
63  155 0.36300 0.0135
64  153 0.36310 0.0123
65  155 0.36310 0.0112
66  156 0.36320 0.0102
67  156 0.36320 0.0093
68  162 0.36330 0.0085
69  166 0.36330 0.0077
70  167 0.36340 0.0070
71  168 0.36340 0.0064
72  170 0.36350 0.0058
73  171 0.36350 0.0053
74  171 0.36350 0.0048
75  172 0.36360 0.0044
76  175 0.36360 0.0040
77  176 0.36360 0.0037
78  180 0.36370 0.0033
79  179 0.36380 0.0030
80  179 0.36380 0.0028
81  178 0.36380 0.0025
82  179 0.36380 0.0023
83  181 0.36380 0.0021
84  183 0.36390 0.0019
85  182 0.36390 0.0017
86  186 0.36390 0.0016
87  186 0.36390 0.0014
88  186 0.36390 0.0013
89  188 0.36390 0.0012
90  189 0.36400 0.0011
91  191 0.36400 0.0010
92  192 0.36400 0.0009
93  192 0.36400 0.0008
94  191 0.36400 0.0008
95  193 0.36400 0.0007
96  193 0.36400 0.0006
97  192 0.36400 0.0006
98  196 0.36400 0.0005
99  195 0.36400 0.0005
100 194 0.36400 0.0004
