
Call:  glmnet(x = x, y = y, alpha = 0.85, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.5500
2    1 0.005668  9.6170
3    1 0.010380  8.7620
4    1 0.014290  7.9840
5    1 0.017530  7.2750
6    1 0.020230  6.6280
7    3 0.022840  6.0400
8    3 0.026880  5.5030
9    3 0.030230  5.0140
10   3 0.033020  4.5690
11   3 0.035330  4.1630
12   3 0.037250  3.7930
13   3 0.038840  3.4560
14   3 0.040170  3.1490
15   3 0.041270  2.8690
16   3 0.042180  2.6140
17   4 0.043450  2.3820
18   4 0.046100  2.1700
19   4 0.048370  1.9780
20   4 0.050270  1.8020
21   4 0.051860  1.6420
22   4 0.053170  1.4960
23   4 0.054270  1.3630
24   5 0.055170  1.2420
25   5 0.056010  1.1320
26   5 0.056700  1.0310
27   6 0.057690  0.9396
28   6 0.058600  0.8561
29   6 0.059340  0.7800
30   6 0.059960  0.7107
31   7 0.060670  0.6476
32   7 0.061390  0.5901
33   7 0.061980  0.5376
34   7 0.062480  0.4899
35   8 0.062890  0.4464
36   9 0.063440  0.4067
37   9 0.063980  0.3706
38   9 0.065060  0.3377
39   9 0.066220  0.3077
40   9 0.067150  0.2803
41   9 0.067930  0.2554
42  10 0.068720  0.2327
43  12 0.069590  0.2121
44  14 0.079250  0.1932
45  16 0.089900  0.1761
46  15 0.099160  0.1604
47  15 0.106800  0.1462
48  19 0.113600  0.1332
49  18 0.119400  0.1213
50  19 0.124400  0.1106
51  21 0.128600  0.1007
52  22 0.132300  0.0918
53  23 0.135400  0.0836
54  24 0.138000  0.0762
55  23 0.140300  0.0694
56  23 0.142200  0.0633
57  24 0.143800  0.0576
58  24 0.145200  0.0525
59  24 0.146300  0.0479
60  24 0.147300  0.0436
61  25 0.148100  0.0397
62  27 0.148800  0.0362
63  27 0.149400  0.0330
64  26 0.150000  0.0301
65  28 0.150500  0.0274
66  30 0.150900  0.0250
67  29 0.151300  0.0227
68  29 0.151600  0.0207
69  31 0.151900  0.0189
70  31 0.152100  0.0172
71  31 0.152300  0.0157
72  32 0.152500  0.0143
73  32 0.152600  0.0130
74  33 0.152700  0.0119
75  35 0.152800  0.0108
76  35 0.152900  0.0098
77  37 0.153000  0.0090
78  38 0.153100  0.0082
79  39 0.153100  0.0074
80  40 0.153200  0.0068
81  40 0.153300  0.0062
82  40 0.153300  0.0056
83  40 0.153300  0.0051
84  40 0.153300  0.0047
85  41 0.153400  0.0043
86  44 0.153400  0.0039
87  43 0.153400  0.0035
88  45 0.153400  0.0032
89  46 0.153400  0.0029
90  47 0.153400  0.0027
91  48 0.153400  0.0024
92  54 0.153400  0.0022
93  55 0.153500  0.0020
94  56 0.153500  0.0018
95  57 0.153500  0.0017
96  58 0.153500  0.0015
97  58 0.153500  0.0014
98  58 0.153500  0.0013
99  58 0.153500  0.0012
100 58 0.153500  0.0011
