IC50,Cancer,Drug,SDOM_subdomainXI_EXP,PWY_R_HSA_2029480,PWY_R_HSA_449147,GO_0038083,FAM_Other_CSV,EXP_TRIM66,EXP_STKLD1,Predicted IC50,Validation
2.692044,910546,1,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,7
0.538706,910546,5,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,9
1.041271,910546,6,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,3
-3.114914,910546,29,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,6
1.180256,910546,30,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,1
-2.130399,910546,32,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,2
2.679554,910546,34,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,4
-1.466481,910546,35,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,3
0.760745,910546,37,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,7
1.94773,910546,38,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,4
-2.937563,910546,51,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,4
2.080115,910546,52,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,7
-4.107221,910546,53,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,9
1.997079,910546,54,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,6
0.032222,910546,55,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,6
1.098185,910546,56,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,1
3.027887,910546,59,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,1
-4.554195,910546,60,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,6
0.965947,910546,63,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,3
0.559599,910546,64,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,8
-4.159919,910546,83,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,4
-2.926637,910546,86,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,5
-5.029127,910546,87,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,4
3.625863,910546,91,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,10
2.532117,910546,106,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,4
2.781123,910546,110,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,3
2.712074,910546,119,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,4
3.385524,724869,152,0,0,0,0,0.77894,4.8178031906,3.4442239813,2.7793028272,8
5.391663,724870,152,0,0,0,1,0,3.5381118819,3.3027841123,2.7549898044,5
2.848449,753624,152,4.3159013454,0,2,0,0,4.0337074231,2.9977596208,3.0385506659,7
2.560153,906693,152,5.1922815341,0,0,0,0,3.9376808437,3.0569909019,2.532791762,1
3.163243,906821,152,0,0,0,0,0,3.4975531411,3.0183267077,2.8345093855,9
2.620787,907285,152,3.1820402799,0,1,0,0,4.324360204,3.2069147596,2.7265518213,1
1.267203,907286,152,5.0425070605,0,0,0,0,5.5187430407,3.1685019517,1.9929584676,3
3.645215,909904,152,0,0,2,1,0,4.2458600711,3.4068077975,3.7934690486,3
1.197593,910546,152,3.414511992,0,1,0,1.303464,5.1544926129,2.949272023,1.1520206213,2
5.289386,910907,152,0,0,3,2,0,3.1124635508,3.3776403327,3.6475015195,6
3.230909,925347,152,0,0,0,0,0,4.4250914198,3.066637805,2.7529379604,4
2.255199,925348,152,3.4205355436,0,1,0,0.666318,3.6838617943,3.4363453569,2.7116145966,10
2.744302,1240201,152,0,0,0,0,0,4.2164629428,3.1363862494,2.5075480073,3
