IC50,Cancer,Drug,EXP_STK10,EXP_PLK3,EXP_PRKCG,EXP_SGK2,EXP_CLK4,Predicted IC50,Validation
3.015268,910568,1,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,7
3.133641,924238,1,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,9
-2.649341,910568,5,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,10
2.132354,924238,5,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,2
2.566877,910568,6,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,6
3.11055,924238,6,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,10
-1.995556,910568,29,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,4
-2.030435,924238,29,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,8
-1.590963,910568,30,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,10
2.74816,924238,30,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,5
3.054886,910568,32,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,6
0.019325,924238,32,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,4
-1.469164,910568,34,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,1
2.958832,924238,34,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,10
0.60073,910568,35,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,6
-0.240399,924238,35,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,6
1.58458,910568,37,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,7
3.038614,924238,37,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,4
1.338999,910568,38,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,2
2.126412,924238,38,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,1
-3.243719,910568,51,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,4
-1.883244,924238,51,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,7
2.19139,910568,52,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,10
2.585193,924238,52,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,1
-2.631211,910568,53,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,5
-3.461163,924238,53,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,7
2.992879,910568,54,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,4
3.403407,924238,54,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,7
3.54956,910568,55,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,2
1.636691,924238,55,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,3
3.696247,910568,56,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,2
2.252645,924238,56,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,2
3.11134,910568,59,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,8
4.412003,924238,59,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,10
-1.130827,910568,60,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,8
-1.58592,924238,60,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,6
3.959067,910568,63,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,2
3.840773,924238,63,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,9
3.494108,910568,64,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,5
2.198689,924238,64,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,1
-2.024292,910568,83,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,2
-2.810043,924238,83,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,9
-1.372612,910568,86,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,7
-0.737148,924238,86,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,9
-0.673961,910568,87,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,4
-2.62267,924238,87,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,9
4.142867,910568,91,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,8
4.046198,924238,91,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,1
1.965375,910568,106,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,2
2.641485,924238,106,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,5
3.452381,910568,110,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,5
3.223269,924238,110,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,6
3.227415,910568,119,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,10
2.813427,924238,119,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,5
1.931293,906696,152,5.6887633734,5.0922033689,3.2913097329,3.2239009534,4.1059921867,1.8795551064,2
3.781149,906795,152,4.3553195447,4.2311411462,3.1845247075,2.8894641189,3.7161075629,3.2212934453,1
5.766515,906864,152,3.684231487,4.3789523414,3.1605538831,2.8186225925,3.445590008,3.584273794,1
2.815844,910568,152,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,2
2.878706,924102,152,5.2805996096,5.0604123505,3.3954973622,2.8865987829,4.2441295163,2.210439378,6
2.806307,924104,152,5.4871670756,5.7365564945,3.3416628895,3.0274372318,4.2002853487,1.7629683689,8
1.195084,924151,152,5.2086232437,4.9840803262,3.2202218213,3.1005331138,4.2295887061,2.1941341166,1
2.429953,924238,152,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,8
5.464797,930299,152,3.0410457739,4.0498271824,3.1467814703,2.7263316715,3.7019469694,4.0008141754,10
2.223387,1240154,152,4.7162444395,5.6212543196,3.469323839,3.1272072856,5.0934769034,1.6970865125,10
1.854196,1240178,152,4.5290463462,4.4294054463,3.240948068,2.8881365765,4.2699846385,2.8541118322,6
5.104686,1240223,152,4.6718875837,5.6752311381,3.2892047784,3.0382677659,4.1705082584,2.1282203541,1
3.209882,1290722,152,4.8540869637,4.5379167929,3.2929922365,2.9068377196,4.4295536292,2.5846982407,5
0.201858,906696,153,5.6887633734,5.0922033689,3.2913097329,3.2239009534,4.1059921867,1.8795551064,5
-0.36999,906795,153,4.3553195447,4.2311411462,3.1845247075,2.8894641189,3.7161075629,3.2212934453,6
1.599012,906864,153,3.684231487,4.3789523414,3.1605538831,2.8186225925,3.445590008,3.584273794,2
-3.159954,910568,153,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,8
-1.245401,924102,153,5.2805996096,5.0604123505,3.3954973622,2.8865987829,4.2441295163,2.210439378,9
-1.337733,924104,153,5.4871670756,5.7365564945,3.3416628895,3.0274372318,4.2002853487,1.7629683689,10
-0.056696,924151,153,5.2086232437,4.9840803262,3.2202218213,3.1005331138,4.2295887061,2.1941341166,10
-1.196597,924238,153,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,2
2.691812,930299,153,3.0410457739,4.0498271824,3.1467814703,2.7263316715,3.7019469694,4.0008141754,5
-1.861738,1240154,153,4.7162444395,5.6212543196,3.469323839,3.1272072856,5.0934769034,1.6970865125,6
-3.668303,1240178,153,4.5290463462,4.4294054463,3.240948068,2.8881365765,4.2699846385,2.8541118322,9
-2.129313,1240223,153,4.6718875837,5.6752311381,3.2892047784,3.0382677659,4.1705082584,2.1282203541,7
-0.562958,1290722,153,4.8540869637,4.5379167929,3.2929922365,2.9068377196,4.4295536292,2.5846982407,8
-0.134078,906696,155,5.6887633734,5.0922033689,3.2913097329,3.2239009534,4.1059921867,1.8795551064,5
-0.475627,906795,155,4.3553195447,4.2311411462,3.1845247075,2.8894641189,3.7161075629,3.2212934453,10
2.329767,906864,155,3.684231487,4.3789523414,3.1605538831,2.8186225925,3.445590008,3.584273794,4
-5.635772,910568,155,5.4744699407,5.0317296711,3.3485190305,3.0875082201,5.1440836553,1.7333078315,3
-0.050061,924102,155,5.2805996096,5.0604123505,3.3954973622,2.8865987829,4.2441295163,2.210439378,9
-1.052902,924104,155,5.4871670756,5.7365564945,3.3416628895,3.0274372318,4.2002853487,1.7629683689,2
-0.317303,924151,155,5.2086232437,4.9840803262,3.2202218213,3.1005331138,4.2295887061,2.1941341166,9
0.098684,924238,155,4.9113196476,5.2015304215,3.2564228182,2.8615461468,4.8776174633,2.167010259,9
2.801536,930299,155,3.0410457739,4.0498271824,3.1467814703,2.7263316715,3.7019469694,4.0008141754,3
-1.187794,1240154,155,4.7162444395,5.6212543196,3.469323839,3.1272072856,5.0934769034,1.6970865125,4
-0.917533,1240178,155,4.5290463462,4.4294054463,3.240948068,2.8881365765,4.2699846385,2.8541118322,8
-1.136702,1240223,155,4.6718875837,5.6752311381,3.2892047784,3.0382677659,4.1705082584,2.1282203541,3
1.537584,1290722,155,4.8540869637,4.5379167929,3.2929922365,2.9068377196,4.4295536292,2.5846982407,5
-0.571255,906696,157,5.6887633734,5.0922033689,3.2913097329,3.2239009534,4.1059921867,1.8795551064,9
-0.722594,906795,157,4.3553195447,4.2311411462,3.1845247075,2.8894641189,3.7161075629,3.2212934453,1
