
Call:  glmnet(x = x, y = y, alpha = 0.45, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 10.4000
2    1 0.00237  9.4770
3    1 0.00435  8.6350
4    1 0.00599  7.8680
5    1 0.00736  7.1690
6    1 0.00849  6.5320
7    2 0.01098  5.9520
8    2 0.01361  5.4230
9    3 0.01619  4.9420
10   3 0.01904  4.5030
11   3 0.02140  4.1030
12   3 0.02337  3.7380
13   3 0.02501  3.4060
14   3 0.02637  3.1030
15   4 0.02761  2.8280
16   5 0.02932  2.5770
17   5 0.03166  2.3480
18   5 0.03360  2.1390
19   5 0.03523  1.9490
20   5 0.03658  1.7760
21   5 0.03771  1.6180
22   5 0.03865  1.4740
23   6 0.03954  1.3430
24   6 0.04030  1.2240
25   6 0.04093  1.1150
26   6 0.04145  1.0160
27   6 0.04188  0.9260
28   6 0.04224  0.8437
29   6 0.04255  0.7687
30   7 0.04282  0.7004
31   7 0.04351  0.6382
32   7 0.04409  0.5815
33   7 0.04458  0.5299
34   7 0.04498  0.4828
35   9 0.04545  0.4399
36  11 0.04828  0.4008
37  11 0.05374  0.3652
38  12 0.06116  0.3328
39  13 0.06857  0.3032
40  13 0.07542  0.2763
41  14 0.08156  0.2517
42  16 0.09115  0.2294
43  18 0.10270  0.2090
44  19 0.11440  0.1904
45  19 0.12650  0.1735
46  20 0.13720  0.1581
47  20 0.14730  0.1440
48  22 0.15890  0.1313
49  23 0.16970  0.1196
50  24 0.18050  0.1090
51  28 0.19210  0.0993
52  28 0.20340  0.0905
53  28 0.21330  0.0824
54  30 0.22250  0.0751
55  32 0.23140  0.0684
56  36 0.23960  0.0624
57  39 0.24760  0.0568
58  44 0.25750  0.0518
59  49 0.26800  0.0472
60  50 0.27830  0.0430
61  51 0.28870  0.0392
62  52 0.29840  0.0357
63  53 0.30720  0.0325
64  57 0.31650  0.0296
65  62 0.32750  0.0270
66  61 0.33870  0.0246
67  64 0.34900  0.0224
68  66 0.35930  0.0204
69  66 0.36880  0.0186
70  69 0.37760  0.0170
71  70 0.38570  0.0154
72  71 0.39300  0.0141
73  71 0.39960  0.0128
74  71 0.40540  0.0117
75  71 0.41050  0.0106
76  73 0.41500  0.0097
77  74 0.41910  0.0088
78  76 0.42300  0.0081
79  76 0.42650  0.0073
80  76 0.42960  0.0067
81  76 0.43230  0.0061
82  77 0.43470  0.0056
83  78 0.43680  0.0051
84  79 0.43870  0.0046
85  80 0.44040  0.0042
86  80 0.44180  0.0038
87  81 0.44300  0.0035
88  81 0.44410  0.0032
89  84 0.44510  0.0029
90  84 0.44610  0.0026
91  84 0.44690  0.0024
92  84 0.44750  0.0022
93  84 0.44810  0.0020
94  85 0.44860  0.0018
95  85 0.44910  0.0017
96  86 0.44940  0.0015
97  86 0.44970  0.0014
98  87 0.45000  0.0013
99  87 0.45020  0.0011
100 87 0.45040  0.0010
