
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df    %Dev  Lambda
1    0 0.00000 1.24900
2    1 0.00048 1.13800
3    1 0.00087 1.03700
4    1 0.00120 0.94470
5    1 0.00147 0.86080
6    1 0.00170 0.78430
7    1 0.00189 0.71460
8    1 0.00204 0.65110
9    1 0.00217 0.59330
10   1 0.00228 0.54060
11   1 0.00237 0.49260
12   1 0.00244 0.44880
13   1 0.00251 0.40890
14   1 0.00256 0.37260
15   1 0.00260 0.33950
16   1 0.00264 0.30930
17   1 0.00266 0.28190
18   1 0.00269 0.25680
19   1 0.00271 0.23400
20   1 0.00272 0.21320
21   1 0.00274 0.19430
22   2 0.00757 0.17700
23   3 0.01482 0.16130
24   4 0.02475 0.14700
25   4 0.03334 0.13390
26   4 0.04048 0.12200
27   6 0.05084 0.11120
28   7 0.06400 0.10130
29  11 0.07817 0.09230
30  11 0.09314 0.08410
31  11 0.10560 0.07663
32  11 0.11590 0.06982
33  12 0.12630 0.06362
34  13 0.13770 0.05797
35  15 0.14880 0.05282
36  16 0.16060 0.04812
37  18 0.17230 0.04385
38  20 0.18320 0.03995
39  20 0.19260 0.03640
40  20 0.20070 0.03317
41  21 0.20820 0.03022
42  23 0.21460 0.02754
43  26 0.22100 0.02509
44  30 0.22950 0.02286
45  33 0.24030 0.02083
46  36 0.25190 0.01898
47  37 0.26300 0.01729
48  41 0.27310 0.01576
49  43 0.28260 0.01436
50  48 0.29360 0.01308
51  50 0.30590 0.01192
52  52 0.31810 0.01086
53  54 0.32940 0.00990
54  56 0.33930 0.00902
55  56 0.34800 0.00822
56  56 0.35520 0.00749
57  55 0.36120 0.00682
58  55 0.36620 0.00622
59  58 0.37040 0.00566
60  59 0.37430 0.00516
61  59 0.37790 0.00470
62  61 0.38100 0.00428
63  62 0.38370 0.00390
64  63 0.38600 0.00356
65  65 0.38820 0.00324
66  67 0.39010 0.00295
67  68 0.39170 0.00269
68  68 0.39320 0.00245
69  68 0.39440 0.00223
70  69 0.39540 0.00204
71  71 0.39650 0.00185
72  72 0.39750 0.00169
73  73 0.39850 0.00154
74  73 0.39940 0.00140
75  73 0.40020 0.00128
76  73 0.40080 0.00116
77  72 0.40130 0.00106
78  73 0.40180 0.00097
79  74 0.40210 0.00088
80  74 0.40240 0.00080
81  75 0.40270 0.00073
82  77 0.40290 0.00067
83  77 0.40320 0.00061
84  77 0.40330 0.00055
85  77 0.40350 0.00050
86  77 0.40360 0.00046
87  77 0.40370 0.00042
88  77 0.40380 0.00038
89  77 0.40390 0.00035
90  77 0.40400 0.00032
91  77 0.40400 0.00029
92  77 0.40410 0.00026
93  77 0.40410 0.00024
94  77 0.40410 0.00022
95  77 0.40420 0.00020
96  76 0.40420 0.00018
97  76 0.40420 0.00017
98  76 0.40420 0.00015
99  76 0.40420 0.00014
100 77 0.40420 0.00012
