
Call:  glmnet(x = x, y = y, alpha = 1, family = "gaussian", standardize = FALSE) 

    Df     %Dev Lambda
1    0 0.000000 9.7740
2    1 0.005138 8.9050
3    1 0.009404 8.1140
4    1 0.012950 7.3930
5    1 0.015890 6.7370
6    1 0.018330 6.1380
7    1 0.020350 5.5930
8    1 0.022040 5.0960
9    1 0.023430 4.6430
10   1 0.024590 4.2310
11   1 0.025550 3.8550
12   1 0.026350 3.5120
13   1 0.027020 3.2000
14   1 0.027570 2.9160
15   1 0.028030 2.6570
16   1 0.028410 2.4210
17   1 0.028720 2.2060
18   2 0.030520 2.0100
19   2 0.033020 1.8310
20   2 0.035100 1.6690
21   2 0.036830 1.5200
22   2 0.038260 1.3850
23   2 0.039450 1.2620
24   2 0.040440 1.1500
25   3 0.041630 1.0480
26   3 0.043820 0.9549
27   3 0.045630 0.8701
28   3 0.047130 0.7928
29   3 0.048380 0.7223
30   3 0.049420 0.6582
31   3 0.050280 0.5997
32   3 0.051000 0.5464
33   3 0.051590 0.4979
34   3 0.052080 0.4536
35   4 0.053450 0.4133
36   4 0.055090 0.3766
37   4 0.056450 0.3432
38   4 0.057580 0.3127
39   4 0.058510 0.2849
40   4 0.059290 0.2596
41   4 0.059940 0.2365
42   4 0.060480 0.2155
43   5 0.064710 0.1964
44   5 0.074950 0.1789
45   6 0.084860 0.1630
46   6 0.098240 0.1485
47   6 0.109300 0.1354
48   6 0.118600 0.1233
49   6 0.126200 0.1124
50   6 0.132600 0.1024
51   6 0.137900 0.0933
52   6 0.142200 0.0850
53   6 0.145900 0.0774
54   6 0.148900 0.0706
55   7 0.151400 0.0643
56   7 0.153500 0.0586
57   7 0.155300 0.0534
58   7 0.156800 0.0486
59   8 0.158000 0.0443
60   9 0.159300 0.0404
61  10 0.160400 0.0368
62  10 0.161500 0.0335
63  10 0.162400 0.0306
64  10 0.163200 0.0278
65  10 0.163800 0.0254
66  10 0.164400 0.0231
67  10 0.164800 0.0211
68  11 0.165200 0.0192
69  12 0.165600 0.0175
70  12 0.166000 0.0159
71  13 0.166300 0.0145
72  13 0.166800 0.0132
73  14 0.167200 0.0120
74  14 0.167600 0.0110
75  15 0.167900 0.0100
76  16 0.168200 0.0091
77  16 0.168500 0.0083
78  16 0.168700 0.0076
79  16 0.168800 0.0069
80  16 0.169000 0.0063
81  16 0.169100 0.0057
82  16 0.169200 0.0052
83  16 0.169300 0.0048
84  16 0.169400 0.0043
85  16 0.169400 0.0039
86  16 0.169500 0.0036
87  16 0.169500 0.0033
88  16 0.169500 0.0030
89  16 0.169600 0.0027
90  16 0.169600 0.0025
91  17 0.169600 0.0023
92  17 0.169600 0.0021
93  18 0.169600 0.0019
94  19 0.169600 0.0017
95  20 0.169700 0.0016
96  21 0.169700 0.0014
97  21 0.169700 0.0013
98  22 0.169700 0.0012
99  23 0.169700 0.0011
100 23 0.169700 0.0010
