
Call:  glmnet(x = x, y = y, alpha = 0.9, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.8600
2    1 0.005135  9.8950
3    1 0.009399  9.0160
4    1 0.012940  8.2150
5    1 0.015880  7.4850
6    1 0.018320  6.8200
7    1 0.020350  6.2140
8    1 0.022030  5.6620
9    1 0.023430  5.1590
10   1 0.024590  4.7010
11   1 0.025550  4.2830
12   1 0.026350  3.9030
13   1 0.027010  3.5560
14   1 0.027570  3.2400
15   1 0.028020  2.9520
16   1 0.028400  2.6900
17   1 0.028720  2.4510
18   2 0.030520  2.2330
19   2 0.033020  2.0350
20   2 0.035090  1.8540
21   2 0.036820  1.6890
22   2 0.038250  1.5390
23   2 0.039440  1.4030
24   2 0.040430  1.2780
25   3 0.041630  1.1640
26   3 0.043810  1.0610
27   3 0.045620  0.9667
28   3 0.047120  0.8808
29   3 0.048370  0.8026
30   3 0.049410  0.7313
31   3 0.050270  0.6663
32   3 0.050990  0.6071
33   3 0.051580  0.5532
34   3 0.052070  0.5041
35   4 0.053440  0.4593
36   4 0.055080  0.4185
37   4 0.056440  0.3813
38   4 0.057570  0.3474
39   4 0.058500  0.3166
40   4 0.059280  0.2884
41   4 0.059930  0.2628
42   4 0.060470  0.2395
43   5 0.064460  0.2182
44   5 0.074210  0.1988
45   6 0.083700  0.1811
46   6 0.096680  0.1651
47   6 0.107600  0.1504
48   6 0.116800  0.1370
49   6 0.124500  0.1249
50   6 0.130900  0.1138
51   6 0.136300  0.1037
52   6 0.140800  0.0945
53   6 0.144600  0.0861
54   6 0.147800  0.0784
55   7 0.150400  0.0714
56   7 0.152700  0.0651
57   7 0.154600  0.0593
58   7 0.156200  0.0540
59   8 0.157500  0.0492
60   9 0.158800  0.0449
61  10 0.160000  0.0409
62  10 0.161200  0.0372
63  10 0.162100  0.0339
64  10 0.162900  0.0309
65  10 0.163600  0.0282
66  10 0.164200  0.0257
67  10 0.164700  0.0234
68  11 0.165100  0.0213
69  12 0.165500  0.0194
70  12 0.165900  0.0177
71  13 0.166200  0.0161
72  13 0.166800  0.0147
73  14 0.167100  0.0134
74  14 0.167600  0.0122
75  15 0.167900  0.0111
76  16 0.168200  0.0101
77  16 0.168400  0.0092
78  16 0.168600  0.0084
79  16 0.168800  0.0077
80  16 0.169000  0.0070
81  16 0.169100  0.0064
82  16 0.169200  0.0058
83  16 0.169300  0.0053
84  16 0.169300  0.0048
85  16 0.169400  0.0044
86  16 0.169500  0.0040
87  16 0.169500  0.0036
88  16 0.169500  0.0033
89  16 0.169600  0.0030
90  16 0.169600  0.0028
91  17 0.169600  0.0025
92  17 0.169600  0.0023
93  18 0.169600  0.0021
94  18 0.169600  0.0019
95  20 0.169700  0.0017
96  21 0.169700  0.0016
97  22 0.169700  0.0014
98  22 0.169700  0.0013
99  23 0.169700  0.0012
100 23 0.169700  0.0011
