
Call:  glmnet(x = x, y = y, alpha = 0.95, family = "gaussian", standardize = FALSE) 

    Df     %Dev  Lambda
1    0 0.000000 10.2900
2    1 0.005137  9.3740
3    1 0.009401  8.5410
4    1 0.012940  7.7820
5    1 0.015880  7.0910
6    1 0.018320  6.4610
7    1 0.020350  5.8870
8    1 0.022030  5.3640
9    1 0.023430  4.8880
10   1 0.024590  4.4530
11   1 0.025550  4.0580
12   1 0.026350  3.6970
13   1 0.027020  3.3690
14   1 0.027570  3.0700
15   1 0.028020  2.7970
16   1 0.028400  2.5480
17   1 0.028720  2.3220
18   2 0.030520  2.1160
19   2 0.033020  1.9280
20   2 0.035100  1.7570
21   2 0.036820  1.6000
22   2 0.038260  1.4580
23   2 0.039440  1.3290
24   2 0.040430  1.2110
25   3 0.041630  1.1030
26   3 0.043810  1.0050
27   3 0.045620  0.9158
28   3 0.047130  0.8345
29   3 0.048380  0.7604
30   3 0.049410  0.6928
31   3 0.050280  0.6313
32   3 0.050990  0.5752
33   3 0.051590  0.5241
34   3 0.052080  0.4775
35   4 0.053450  0.4351
36   4 0.055090  0.3964
37   4 0.056450  0.3612
38   4 0.057580  0.3291
39   4 0.058510  0.2999
40   4 0.059290  0.2733
41   4 0.059940  0.2490
42   4 0.060480  0.2269
43   5 0.064590  0.2067
44   5 0.074590  0.1883
45   6 0.084300  0.1716
46   6 0.097490  0.1564
47   6 0.108500  0.1425
48   6 0.117700  0.1298
49   6 0.125400  0.1183
50   6 0.131800  0.1078
51   6 0.137100  0.0982
52   6 0.141600  0.0895
53   6 0.145300  0.0815
54   6 0.148400  0.0743
55   7 0.150900  0.0677
56   7 0.153100  0.0617
57   7 0.155000  0.0562
58   7 0.156500  0.0512
59   8 0.157800  0.0466
60   9 0.159000  0.0425
61  10 0.160200  0.0387
62  10 0.161400  0.0353
63  10 0.162300  0.0322
64  10 0.163100  0.0293
65  10 0.163700  0.0267
66  10 0.164300  0.0243
67  10 0.164700  0.0222
68  11 0.165200  0.0202
69  12 0.165600  0.0184
70  12 0.165900  0.0168
71  13 0.166300  0.0153
72  13 0.166800  0.0139
73  14 0.167200  0.0127
74  14 0.167600  0.0116
75  15 0.167900  0.0105
76  16 0.168200  0.0096
77  16 0.168400  0.0087
78  16 0.168700  0.0080
79  16 0.168800  0.0073
80  16 0.169000  0.0066
81  16 0.169100  0.0060
82  16 0.169200  0.0055
83  16 0.169300  0.0050
84  16 0.169400  0.0046
85  16 0.169400  0.0042
86  16 0.169500  0.0038
87  16 0.169500  0.0034
88  16 0.169500  0.0031
89  16 0.169600  0.0029
90  16 0.169600  0.0026
91  17 0.169600  0.0024
92  17 0.169600  0.0022
93  18 0.169600  0.0020
94  18 0.169600  0.0018
95  20 0.169700  0.0016
96  21 0.169700  0.0015
97  22 0.169700  0.0014
98  22 0.169700  0.0012
99  22 0.169700  0.0011
100 23 0.169700  0.0010
