IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_830,Fingerprint_828,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_791,Fingerprint_788,Fingerprint_784,Fingerprint_783,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_687,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_673,Fingerprint_672,Fingerprint_669,Fingerprint_656,Fingerprint_650,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_576,Fingerprint_363,SDOM_subdomainXI_EXP,REC_R_HSA_399930_EXP,PWY_R_HSA_112314,PWY_R_HSA_2029480,PWY_R_HSA_449147,PWY_R_HSA_450321_EXP,PWY_R_HSA_983231,PWY_R_HSA_983231_EXP,GO_0006357_EXP,GO_0008360,GO_0032436_EXP,GO_0046328,FAM_Other_CSV,EXP_KDR,EXP_LIMK2,EXP_STKLD1,EXP_OXSR1,EXP_MAP3K9,EXP_TAF1,EXP_GRK4,EXP_STK26,Predicted IC50,Validation
-2.937563,910546,51,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,3.414511992,3.3211803875,1,0,1,0,0,0,5.922990095,1,6.1617124976,1,1.303464,4.0326236777,3.6350939927,2.949272023,7.2319835939,3.1683796338,5.5042733721,3.6208407633,7.1775140488,-2.863190234,10
2.080115,910546,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,3.414511992,3.3211803875,1,0,1,0,0,0,5.922990095,1,6.1617124976,1,1.303464,4.0326236777,3.6350939927,2.949272023,7.2319835939,3.1683796338,5.5042733721,3.6208407633,7.1775140488,2.1530203978,7
-4.107221,910546,53,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3.414511992,3.3211803875,1,0,1,0,0,0,5.922990095,1,6.1617124976,1,1.303464,4.0326236777,3.6350939927,2.949272023,7.2319835939,3.1683796338,5.5042733721,3.6208407633,7.1775140488,-1.812826813,9
1.997079,910546,54,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,3.414511992,3.3211803875,1,0,1,0,0,0,5.922990095,1,6.1617124976,1,1.303464,4.0326236777,3.6350939927,2.949272023,7.2319835939,3.1683796338,5.5042733721,3.6208407633,7.1775140488,1.7756701935,6
0.032222,910546,55,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,3.414511992,3.3211803875,1,0,1,0,0,0,5.922990095,1,6.1617124976,1,1.303464,4.0326236777,3.6350939927,2.949272023,7.2319835939,3.1683796338,5.5042733721,3.6208407633,7.1775140488,-0.247338486,6
1.098185,910546,56,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,3.414511992,3.3211803875,1,0,1,0,0,0,5.922990095,1,6.1617124976,1,1.303464,4.0326236777,3.6350939927,2.949272023,7.2319835939,3.1683796338,5.5042733721,3.6208407633,7.1775140488,1.8274392532,1
3.027887,910546,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,3.414511992,3.3211803875,1,0,1,0,0,0,5.922990095,1,6.1617124976,1,1.303464,4.0326236777,3.6350939927,2.949272023,7.2319835939,3.1683796338,5.5042733721,3.6208407633,7.1775140488,-0.985881624,1
-4.554195,910546,60,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,3.414511992,3.3211803875,1,0,1,0,0,0,5.922990095,1,6.1617124976,1,1.303464,4.0326236777,3.6350939927,2.949272023,7.2319835939,3.1683796338,5.5042733721,3.6208407633,7.1775140488,-0.39781785,6
0.965947,910546,63,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0,3.414511992,3.3211803875,1,0,1,0,0,0,5.922990095,1,6.1617124976,1,1.303464,4.0326236777,3.6350939927,2.949272023,7.2319835939,3.1683796338,5.5042733721,3.6208407633,7.1775140488,2.4462706457,3
0.559599,910546,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.414511992,3.3211803875,1,0,1,0,0,0,5.922990095,1,6.1617124976,1,1.303464,4.0326236777,3.6350939927,2.949272023,7.2319835939,3.1683796338,5.5042733721,3.6208407633,7.1775140488,0.7678164246,8
-4.159919,910546,83,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,1,3.414511992,3.3211803875,1,0,1,0,0,0,5.922990095,1,6.1617124976,1,1.303464,4.0326236777,3.6350939927,2.949272023,7.2319835939,3.1683796338,5.5042733721,3.6208407633,7.1775140488,-2.428386729,10
-2.926637,910546,86,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,3.414511992,3.3211803875,1,0,1,0,0,0,5.922990095,1,6.1617124976,1,1.303464,4.0326236777,3.6350939927,2.949272023,7.2319835939,3.1683796338,5.5042733721,3.6208407633,7.1775140488,-1.948411761,5
-5.029127,910546,87,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,1,3.414511992,3.3211803875,1,0,1,0,0,0,5.922990095,1,6.1617124976,1,1.303464,4.0326236777,3.6350939927,2.949272023,7.2319835939,3.1683796338,5.5042733721,3.6208407633,7.1775140488,1.69455195,10
3.625863,910546,91,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,3.414511992,3.3211803875,1,0,1,0,0,0,5.922990095,1,6.1617124976,1,1.303464,4.0326236777,3.6350939927,2.949272023,7.2319835939,3.1683796338,5.5042733721,3.6208407633,7.1775140488,3.9346159003,4
2.532117,910546,106,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,0,3.414511992,3.3211803875,1,0,1,0,0,0,5.922990095,1,6.1617124976,1,1.303464,4.0326236777,3.6350939927,2.949272023,7.2319835939,3.1683796338,5.5042733721,3.6208407633,7.1775140488,2.1122957959,10
2.781123,910546,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,3.414511992,3.3211803875,1,0,1,0,0,0,5.922990095,1,6.1617124976,1,1.303464,4.0326236777,3.6350939927,2.949272023,7.2319835939,3.1683796338,5.5042733721,3.6208407633,7.1775140488,-0.825072221,3
2.712074,910546,119,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,3.414511992,3.3211803875,1,0,1,0,0,0,5.922990095,1,6.1617124976,1,1.303464,4.0326236777,3.6350939927,2.949272023,7.2319835939,3.1683796338,5.5042733721,3.6208407633,7.1775140488,1.1648714658,10
