IC50,Cancer,Drug,From_Sanger,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_806,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_797,Fingerprint_784,Fingerprint_782,Fingerprint_780,Fingerprint_776,Fingerprint_710,Fingerprint_709,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_677,Fingerprint_672,Fingerprint_669,Fingerprint_659,Fingerprint_656,Fingerprint_650,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_219,PKA_219_ASA,MUT_PAK5,MUT_STK19,MUT_STK19_EXP,REC_R_HSA_428531,REC_R_HSA_5672950_EXP,REC_R_HSA_5692755_EXP,PWY_R_HSA_373755_CSV,PWY_R_HSA_75035_EXP,GO_0007010,GO_0007030,GO_0007548,GO_0016569,GO_0030036,GO_0043154,GO_0043154_EXP,GO_2000379,EXP_FAM20A,EXP_STK16,EXP_INSRR,EXP_CAMK2D,PKA_109_I_CSV_X_Fingerprint_617,PKA_109_I_X_Fingerprint_617,PKA_190_ENG_X_Fingerprint_694,PKA_190_VOL_X_Fingerprint_860,PKA_192_ASA_X_Fingerprint_576,PKA_294_CSV_X_Fingerprint_576,PKA_59_ENG_X_Fingerprint_702,PKA_89_ASA_X_Fingerprint_702,EXP_CSNK1E_X_EXP_HEATR1,EXP_CSNK1E_X_EXP_RPP40,EXP_CSNK2A1_X_EXP_SUPT5H,EXP_INSRR_X_EXP_GRB2,EXP_MAP2K1_X_EXP_DNM1,EXP_MAP2K1_X_EXP_PIK3CD,EXP_MAP2K1_X_EXP_RPS27A,EXP_PAK3_X_EXP_CHRM1,EXP_PAK3_X_EXP_CTNNA1,EXP_PAK3_X_EXP_HRAS,EXP_PAK3_X_EXP_MYL12A,PWY_R_HSA_1280218_CSV_X_PWY_R_HSA_442742_CSV,PWY_R_HSA_187687_EXP_X_PWY_R_HSA_6804758_EXP,PWY_R_HSA_2672351_EXP_X_PWY_R_HSA_6804758_EXP,PWY_R_HSA_3247509_EXP_X_PWY_R_HSA_388841_EXP,GO_0001666_X_GO_0006469,GO_0001933_EXP_X_GO_0006914_EXP,GO_0007249_X_GO_0097190,GO_0010507_EXP_X_GO_0023014_EXP,GO_0010507_X_GO_0023014,Predicted IC50,Validation
3.984108,909713,1164,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,4.2589112437,0,0,0,0,0,0,0,0,0,0,0,2.9943320224,6.8625699925,2.6562651888,5.2082461286,0,0,0,0,0,0,0,0,45.413831863,43.175576363,49.408211623,21.40855731,31.292506408,29.249565153,30.968572283,9.7498150596,32.058970505,17.571664993,33.109727137,0.495450235,0,0,0,0,0,0,0,0,2.7798815343,5
2.095671,907171,275,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,9.589704542,0,0,0,0,0,0,0,0,0,0,0,2.9636129991,6.4168787772,2.6532441138,5.6820410582,0,0,0,0,0,0.557707,0,0,46.188224937,50.306454478,46.48827232,20.770220771,27.956755852,36.856514579,32.253611668,9.536973661,28.616280091,20.707128359,34.809703106,0,0,0,0,0,0,0,0,0,3.3090209852,5
3.487197,753579,229,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2.9306829853,5.5640534114,2.9433671796,5.4976556021,0,0,0,0,0,0,0,0,51.190399001,55.995688668,51.174183798,23.052839882,28.094192431,23.874515306,26.331919409,14.03641386,42.711964745,27.510760554,49.211754551,0,0,0,0,0,0,0,0,0,4.1652916571,4
3.869818,909724,158,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,4.7687839898,0,0,0,0,1,0,0,1,0,0,0,2.910210766,6.5304615048,2.8542669316,4.8471171585,0,0,0,0,0,0,0,0,43.426218691,55.744282047,54.935102722,25.86562384,28.811387975,29.525209595,29.118876629,11.478489842,33.933314802,27.115363142,37.199218563,0,0,0,0,0,13.997655292,0,0,0,1.8114032373,7
5.686071,906830,152,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,4.4080474507,0,0,3.2377493328,1,0,0,0,2,0,0,0,2.8686287901,7.5379994686,2.8368247502,5.5800564821,0,0,0,0,0,0,0,0,45.958761811,45.327549742,45.838675861,22.657094421,29.123666473,29.242788421,26.216113623,9.8359134195,29.933926636,19.918828848,33.117076795,0,0,0,0,0,57.18418478,0,32.835405176,2,4.9118585736,5
2.590687,906818,1037,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.1920288691,0,0,0,0,0,0,0,0,0,0,0,2.9159680908,6.7564872014,2.8322878247,5.125511477,0,0,0,0,0,0,0,0,41.189054187,42.774746673,51.275786144,25.154629774,29.196191057,29.433469858,30.948729185,10.708520937,32.771596307,24.476357752,37.904833415,0,0,0,0,0,0,0,0,0,2.9578512166,4
3.813727,1298160,330,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,1,3.7009669527,0,0,0,2,1,0,0,1,0,0,0,2.9852256991,5.207403433,2.8161005923,4.6377785734,0,0,0,0,0,0,0,0,46.325993569,40.951116111,45.524153445,23.863755112,31.352027351,29.387522953,35.172416233,21.091118609,59.090564926,44.005051578,67.263614246,0,0,0,0,0,0,0,0,0,4.5601148624,9
1.453647,907058,1010,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.5959900584,0,0,0,0,0,0,0,0,0,0,0,2.9890279512,6.3910535066,2.8158440853,5.5516957541,0,0,0,0,0,0,0,0,56.975391143,59.290826519,71.368140707,24.906554566,31.275942197,41.051699853,29.300688077,9.3373850035,29.66619071,20.466426909,28.277482965,0,0,0,0,0,0,0,0,0,1.4758733299,2
1.684648,910903,1050,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.2098945568,0,0,0,0,0,0,0,0,0,0,0,2.9202327312,6.7020292041,2.6876996932,5.4415727631,0,0,0,0,0,0,0,0,48.180631364,54.12071371,64.166684999,22.26175927,67.861315539,34.74433554,33.301695988,10.006019185,30.252686885,19.592981001,36.993086183,0,0,0,0,0,0,0,0,0,1.4967347378,5
4.600452,1240226,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5659659165,0,0,0,0,0,0,0,0,0,0,0,2.9994014728,6.6644443157,2.9308241496,5.3949306354,0,0,0,0,0,0,0,0,53.723208355,54.029157623,47.372827011,22.629363898,31.484728904,26.74088772,29.821530926,9.9651547111,30.807003228,20.541267132,31.575284114,0,0,0,0,0,0,0,0,0,4.5421585759,9
