IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_829,Fingerprint_828,Fingerprint_826,Fingerprint_825,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_806,Fingerprint_801,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_788,Fingerprint_784,Fingerprint_783,Fingerprint_782,Fingerprint_780,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_710,Fingerprint_709,Fingerprint_705,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_687,Fingerprint_679,Fingerprint_677,Fingerprint_673,Fingerprint_672,Fingerprint_669,Fingerprint_656,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,PKA_126,PKA_126_B62,PKA_126_ENG,PKA_98,PKA_98_CSV,DOM_POLO_box_EXP,DOM_START_EXP,MUT_MYO3A_CSV,MUT_RPS6KB2_EXP,CNV_BTK_loss,CNV_CDK12_gain,CNV_CDK14_gain,CNV_MAP2K1_gain,REC_R_HSA_1839094,REC_R_HSA_202248_CSV,PWY_R_HSA_1257604,GO_0000165_CSV,GO_0007399_CSV,GO_0016572_EXP,GO_0043011_CSV,GO_0046777_CSV,GO_0048675,GO_0048813_EXP,SFAM_BRD,CLS_gender_f,EXP_FAM198A,EXP_ABL1,EXP_TAF1,EXP_DAPK1,EXP_PSKH2,EXP_MET,Predicted IC50,Validation
-0.048492,906869,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.735163,0,0,0,0.480643,0,0,0,1,2.5863295859,5.0425998675,5.5145085284,4.6874792823,3.0582022326,5.8608507845,1.2424128143,3
1.536918,908444,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3.1107604749,0,1.404374,0,0,0,0,2.6865130089,5.5732377565,5.1578680981,4.1599491849,3.1006042437,3.4031077234,1.0616431224,6
3.406585,908445,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,-1,-4.552,0,0,4.920834222,6.9086895992,0,0,1,0,1,0,0,0.781361,0,0,0,0,0,0.749421,0,0,0,1,3.0205850506,4.9598057688,4.1533313859,4.7382894269,3.2816124022,8.4589985293,3.877688534,10
2.370697,908446,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57773,1,0,0,0,0,0,0,0,0,1,2.7877289005,5.0912840925,4.9674286954,3.9454842462,2.9865354984,5.0777787589,3.7901886584,10
3.220978,909697,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.824029,0.824029,0,0,0.824029,0,0,0,0,2.8244828011,5.8400708012,4.843062053,4.1933972204,2.9830370765,3.3134149842,1.5722392301,1
3.773537,909711,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.2257321006,4.9530467888,4.4596434957,6.0545000364,3.2938599023,4.8967837502,3.9698683668,9
2.855382,1322224,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5961,0,3.2304366789,0,0.775296,1,3.0131753619,0,0,2.9907138864,5.094746485,5.8293582196,3.8778823197,2.9053709618,5.8743919955,3.0768777873,5
4.769073,906869,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.735163,0,0,0,0.480643,0,0,0,1,2.5863295859,5.0425998675,5.5145085284,4.6874792823,3.0582022326,5.8608507845,4.3225754635,8
2.648886,908444,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3.1107604749,0,1.404374,0,0,0,0,2.6865130089,5.5732377565,5.1578680981,4.1599491849,3.1006042437,3.4031077234,3.1876870928,1
4.895981,908445,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,1,-1,-4.552,0,0,4.920834222,6.9086895992,0,0,1,0,1,0,0,0.781361,0,0,0,0,0,0.749421,0,0,0,1,3.0205850506,4.9598057688,4.1533313859,4.7382894269,3.2816124022,8.4589985293,3.0482439114,4
