IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_833,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_820,Fingerprint_819,Fingerprint_813,Fingerprint_812,Fingerprint_806,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_784,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_712,Fingerprint_710,Fingerprint_697,Fingerprint_687,Fingerprint_685,Fingerprint_677,Fingerprint_676,Fingerprint_673,Fingerprint_672,Fingerprint_669,Fingerprint_658,Fingerprint_656,Fingerprint_648,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,DOM_FAT,MUT_MAST2,PWY_R_HSA_1500931_EXP,PWY_R_HSA_375165_EXP,GO_0050853,GO_0097192,SFAM_GEK_EXP,SFAM_MAST_EXP,FAM_PKL_EXP,EXP_HASPIN,EXP_BLK,EXP_FER,EXP_SCYL1,EXP_MAP3K1,EXP_MAP3K12,EXP_TRPM6,Predicted IC50,Validation
2.776635,688086,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4785874998,3.3242127591,6.1592377309,4.0549330007,7.360646464,4.0659983721,2.95881721,1.0080754861,2
2.16145,753616,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.3418325814,0,0,0,0,0,0,3.17935239,2.9940009451,6.3150001348,3.9634915079,9.9658042921,4.824062036,3.0475652609,-0.140691439,10
3.005504,753618,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.9325860111,4.1574311249,2.9904348598,6.2040964012,4.0837585012,7.6337375206,4.3782347802,2.7940765549,0.9046257872,8
3.63181,753620,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.7271270004,0,0,0,0,0,3.9955726526,3.0530536057,5.4772215277,3.9191471035,8.6400297648,4.7733200019,3.0498159977,2.1458243785,3
2.773124,906803,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.7537471722,3.0166446094,5.58970471,4.4025031686,7.8804183363,3.5287271651,3.0694430663,1.4340428518,9
2.579488,907170,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4.6054433093,5.0635108536,2.9415416484,5.0543566337,4.0900633709,6.4870027833,4.4495276733,2.8986290134,1.0445775432,1
0.482342,907314,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6.2178037581,6.2178037581,0,0,0,3.8780668646,0,3.9352718573,3.1551040553,5.9380981735,3.8429776126,10.076017659,4.1585101107,3.3158520501,0.8767486521,7
3.472481,908135,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.290078221,3.0099903396,5.5743727388,4.066407361,8.8371716294,4.2414535158,2.8770099757,-0.306512311,3
3.63342,908447,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.5832775049,3.0546557316,5.954975638,3.8617881886,10.524235978,4.0955605896,3.0544994437,0.7355806532,7
1.443277,925342,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,7.3149162214,5.0886920842,2.7943046547,4.992109013,4.9423886138,5.6864406774,3.8229751632,2.9730211377,0.502253189,3
0.140044,949171,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8014315403,0,3.4338479604,3.0072868139,5.6550519105,4.1595411361,9.3982289452,3.9598531313,3.289320604,0.2797406498,4
3.883038,949172,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6.1348282251,0,0,0,3.8393944396,3.6222360977,0,3.7905974833,3.2495033772,6.6002168183,3.8541252522,9.1731153408,5.3248494095,3.0231986151,-0.194107812,9
3.463092,949174,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0905755961,0,0,4.2158263514,2.9726929143,5.1853748155,4.3929698596,8.4849765589,3.9105088882,3.0115716678,0.0164744685,2
0.652029,949175,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.3951271192,0,4.2415071253,3.1892171923,5.4747761718,4.1515818123,7.9916395169,4.5785804912,2.8746356601,1.6700446044,1
1.044807,949176,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0098079055,3.000131965,5.388555827,4.0900577916,9.596303887,3.9262933504,3.024543874,-0.220671695,4
1.325069,949177,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0658684474,2.9385217949,4.6172272566,3.8604550152,6.9651664382,3.5479723985,2.9197997475,-1.159046802,7
