IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_788,Fingerprint_785,Fingerprint_784,Fingerprint_783,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_696,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_669,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_650,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_141,PKA_145_CHA,PKA_145_HYD,PKA_158_K,PKA_162,PKA_224_B62,MOT_2D_beta7strand,MOT_2D_beta7strand_EXP,DOM_C2,DOM_EphA2_TM,MUT_AATK_EXP,MUT_ALK,MUT_ANKK1_CSV,MUT_CASK,MUT_CDK13_EXP,MUT_DCLK3_EXP,MUT_EPHA8,MUT_KIT,MUT_PAK5_EXP,MUT_PSKH2_CSV,MUT_SGK1,MUT_SGK1_EXP,MUT_STK32C,MUT_TIE1,CNV_GUCY2C_gain,CNV_PAK1_gain,REC_R_HSA_1181155,REC_R_HSA_1433418_CSV,REC_R_HSA_166082,REC_R_HSA_429698,REC_R_HSA_6800434,PWY_R_HSA_1500931,PWY_R_HSA_164944,PWY_R_HSA_212436_CSV,PWY_R_HSA_3000171_EXP,PWY_R_HSA_391160,PWY_R_HSA_4086400_CSV,PWY_R_HSA_418594_CSV,PWY_R_HSA_6798695,PWY_R_HSA_6798695_EXP,PWY_R_HSA_8953854_CSV,GO_0001570,GO_0001890,GO_0007275_EXP,GO_0007286_CSV,GO_0007399_CSV,GO_0009725,GO_0016321,GO_0016321_EXP,GO_0017148_EXP,GO_0021766_EXP,GO_0021987,GO_0030097_CSV,GO_0030097_EXP,GO_0030968_EXP,GO_0035924_CSV,GO_0038128_EXP,GO_0042490,GO_0042490_EXP,GO_0042493_CSV,GO_0043488_CSV,GO_0043507_EXP,GO_0045944_CSV,GO_0050727_CSV,GO_0051147,GO_0051301,GO_0060999_CSV,GO_0071407_EXP,SFAM_NEK1,FAM_Atypical_EXP,EXP_CSNK2A1,EXP_HASPIN,EXP_FGFR2,EXP_STK31,EXP_CDK6,EXP_TP53RK,EXP_MAP3K9,EXP_EIF2AK3,EXP_NTRK2,EXP_TSSK3,EXP_CDK4,EXP_LMTK2,EXP_MAP2K1,EXP_CDK20,Predicted IC50,Validation
3.285653,687600,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.575153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,6.8305536985,0,0,0,0,0,0,0,0,0,0,0,0,3.2150488821,0,0,0,0,3.7514751778,0,0,0,1,0,0,0,17.97231249,7.193116084,3.9713696505,3.090713081,3.2514435907,4.0170570507,4.6499072059,3.2384779954,5.418618113,3.0307260333,3.4887633336,9.888307782,2.9138269316,8.6259393205,3.7779004543,3.7648778727,7
3.435183,687997,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.634781,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.085107366,1,3.2511280545,0.764059,0,0,0,0,0,1,0,0,1,16.439385795,7.5805914867,4.0546697245,3.4158727013,2.7934609699,5.9655986386,4.7762886867,3.3512187003,5.3598827955,3.044284162,3.4801873311,9.0454321015,3.0822522274,8.3111436142,3.6241823948,3.1307663584,4
3.677577,688001,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6.4986497555,0,0,0,1,3.009688273,0,0,0,4.6267178932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.460874,0,0.460874,0,0,0,0.813122,0,0,0,7.515241487,4.1224404195,3.2040434613,3.6732897193,6.771439381,4.3448470356,3.4757617573,4.33889043,2.9567265161,3.7514838388,10.183948835,3.1247834319,8.8637708634,3.6227807819,3.2643327172,9
3.438432,688006,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.811257,0,0,0,0,0,0,0,0,0,4.1440861828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8919590358,7.2591146903,4.974084562,3.7750212083,3.1075326031,5.2771046294,4.5601019223,3.5670477409,5.6141631346,2.9573795853,3.4423279876,9.1089586723,2.9483343879,7.647985566,2.9147148081,3.2890050159,6
3.551168,688007,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2044442923,0,0,0,0,0,0,6.0313121605,0,0,0,0,0,0,0,0,0,0,0,0.822238,0,0,0,0,0,0,17.999167192,7.5186099545,4.296634016,3.4726104981,2.9022907268,3.7991737243,4.79491695,3.6396302002,6.6611624328,3.0123313312,3.3842282962,9.87068756,2.8707064368,7.4070612421,3.130724954,3.4621102618,1
2.519943,688010,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.772826,0,0,0,0,0,0,6.8649450895,0,0,0,0,0,5.6710334096,0,0,0,0,5.6710334096,0,0,0,0,0,0,6.8649450895,0,0,0,0,0,0,0,13.518839586,7.4792344506,4.3571471962,3.214164004,3.111265422,5.3843174788,5.4357426007,3.1781477436,5.6710334096,3.0593146423,3.4842597319,9.8023972387,2.9376404405,8.1644889337,3.3102001567,3.1877175117,10
3.273699,688014,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.678611,0,0,0,1,0,0,0,0,0,0,0,0,0,0.840119,0,0,0,0,0,0,0,1,0,4.7572816697,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9569933062,0,0,3.2999822003,1.583378,0,0,0,0,0,0,3.3237071669,7.5419064865,4.5724633247,3.0386958684,2.9297720714,4.23918001,4.1319114604,3.9532266083,6.2319169145,2.8816003507,3.7545193024,9.5995419206,2.9444297981,7.7052465596,3.2104465408,3.6335190627,9
3.575458,688018,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.941794233,0,0,0,0,0,0,1,0,0,0,0,7.753548077,3.9970595776,3.9587528346,3.0315917788,4.066894687,5.0677872677,3.4284698951,5.2305147157,3.1226688961,3.4641506386,9.5530021496,2.9145273116,8.306731749,3.4779302316,2.7610097439,5
3.894926,688021,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.4873331594,1,0,0,0,0,0,0,0,0,0,0,0.797802,0,0,0,0,0,0,0,1,0,3.8450275911,0,0.783515,0,0,0,0,0,0,0,2.9583064123,0,0,0,0,0,0,0,0,0,0,0,2,0,4.534294911,0,18.265273888,7.3595943455,3.7820119449,3.0052399572,3.0620956619,3.8426590786,4.4564586451,3.4957696544,5.8660532025,3.2487593614,3.565113454,9.451323892,2.981000828,8.0409318297,3.566286014,3.9935119116,2
3.22988,688023,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.85482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.8539246205,8.0597423397,3.8435046591,4.0298312736,2.7707833821,8.875964294,5.222578627,3.4419901406,6.5252795113,2.9555385322,3.3917278164,9.7430125775,3.1300195954,8.6242957024,3.3398123394,3.0263619266,9
