IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_788,Fingerprint_784,Fingerprint_783,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_776,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_705,Fingerprint_704,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_696,Fingerprint_694,Fingerprint_687,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_674,Fingerprint_672,Fingerprint_669,Fingerprint_658,Fingerprint_656,Fingerprint_650,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_176,PKA_176_ASA,PKA_267_B62,PKA_44,PKA_44_CHA,PKA_44_ENG,PKA_44_EXP,PKA_52_R,PKA_59_E,PKA_89_ENG,PKA_89_P_CSV,DOM_FAT,DOM_F_actin_bind,DOM_F_actin_bind_EXP,MUT_CDK1_EXP,MUT_MYO3A,MUT_MYO3A_EXP,MUT_PAK5,MUT_RET,MUT_STK19,MUT_TYRO3_EXP,CNV_SMG1_loss,REC_R_HSA_374696_EXP,REC_R_HSA_416320,REC_R_HSA_428531,REC_R_HSA_5672950_EXP,REC_R_HSA_8874078,PWY_R_HSA_195258_CSV,PWY_R_HSA_373755_CSV,PWY_R_HSA_442717,PWY_R_HSA_5675221,PWY_R_HSA_75035_EXP,GO_0001893_EXP,GO_0006281,GO_0007010_EXP,GO_0007030,GO_0010634,GO_0016049,GO_0019933,GO_0030036,GO_0030216_EXP,GO_0030238,GO_0043154,GO_0043154_EXP,GO_0048666,GO_0048666_EXP,GO_0050771,GO_0061178,GO_0061178_EXP,GO_0071902_CSV,SFAM_DDR_EXP,EXP_TAOK3,EXP_FAM20A,EXP_BRDT,EXP_STK16,EXP_INSRR,EXP_PAK3,EXP_LRRK2,EXP_FAM198B,EXP_LMTK3,EXP_MAP2K1,EXP_TBK1,EXP_PRKY,EXP_CAMK2D,Predicted IC50,Validation
2.686954,907172,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.9858149746,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6.4305778369,3.401768297,3.2336626161,6.1317031908,2.749263709,3.2130140399,3.0863641087,2.8660087199,2.9513083917,8.6459223802,7.4819469262,3.044144366,6.1611277545,2.2628817705,4
4.149806,909713,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.2589112437,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.1480903234,2.9943320224,3.1788993323,6.8625699925,2.6562651888,3.0288453739,3.678637588,2.9111362738,3.111957739,7.9534917715,8.2461121511,2.9479518084,5.2082461286,2.2049681238,4
2.31177,909723,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2.9890794017,0,0,0,0,0,0,0,1,4.4322255806,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6560141259,2.8977386149,2.9019421786,6.3760563725,2.8864391958,3.2013225357,3.020473669,3.1306038974,3.0841577275,8.430036305,8.2267019208,4.233818799,6.3314217803,2.4856531007,8
-0.094267,910697,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6673815469,2.8446799855,3.011024581,6.611937614,2.646966106,2.9766551523,3.0863629799,3.0950585302,3.7762447634,9.1290051413,8.0884425289,3.1245490148,5.4941446307,1.7522567326,4
2.557837,910921,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.6982204348,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.859764528,4.7066039441,3.1587881037,6.8081987162,2.7715080451,4.2769276044,5.1169364013,7.2524885505,3.0972633941,8.1908163664,8.1360057695,3.1778846926,5.5538107885,1.3440588859,5
2.64093,925339,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.6489332262,0,0,0,0,1,0,0,0,4.4150081829,0,0,1,0,1,0,1,0,0,1,3.2382828665,0,0,0,0,0,7.8569441056,3.062479867,3.0825653738,6.5520872733,2.9854908346,3.8564667024,4.9016778651,6.2433545558,3.4074805429,7.9596398394,7.3726377259,3.1535284156,4.5364269217,2.9667728132,3
3.6846,971777,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6708432221,0,0,0,0,2,0,0,1,0,0,0,0,0,0,8.2489740922,0,1,6.6708432221,0,0,0,0,0,0.7561,0,6.8559290042,2.8759289153,3.1153607494,7.0680068856,2.7874092414,4.2945683094,3.4498238218,7.6137703838,3.2293510547,8.2489740922,7.7647070682,3.1697520142,4.4456227649,2.6618122458,3
5.704146,687448,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3.4616952277,0,0,5.8129981607,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6.2995533427,3.0246092431,2.9447520849,5.1066096864,2.8938735493,3.0151103778,6.2605757922,5.4944186164,3.4466902601,7.6775993491,8.0636531799,3.384541566,5.428577798,3.8291809003,6
5.182168,753546,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6.4473537445,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,6.0618024111,2.9947934633,3.0622456647,6.4880234608,2.9887273027,3.4348196265,4.0452832413,5.5082897036,3.1998299004,7.84559855,8.335966925,3.4288712811,4.3197374658,4.5425287911,2
4.765808,753579,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.8167902561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7731654736,2.9306829853,2.9262743824,5.5640534114,2.9433671796,4.320105229,5.3311279328,6.3061378533,3.226163538,7.0071800025,7.4633926649,2.9615491749,5.4976556021,3.779876264,6
