IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_828,Fingerprint_826,Fingerprint_825,Fingerprint_819,Fingerprint_818,Fingerprint_806,Fingerprint_799,Fingerprint_797,Fingerprint_780,Fingerprint_776,Fingerprint_710,Fingerprint_709,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_677,Fingerprint_648,Fingerprint_646,Fingerprint_635,Fingerprint_629,Fingerprint_617,Fingerprint_611,GO_0034976,EXP_STK10,EXP_PLK3,EXP_PRKCG,EXP_CLK4,EXP_TLK1,Predicted IC50,Validation
3.015268,910568,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,1.0644522427,7
3.133641,924238,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,1.6145381243,9
-2.649341,910568,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,1.3198172085,8
2.132354,924238,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,1.9070240463,2
2.566877,910568,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,3.2661074218,6
3.11055,924238,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,3.5100342,8
-1.995556,910568,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,0.2228034076,4
-2.030435,924238,29,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,0.8098893567,10
-1.590963,910568,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,0.2461039304,8
2.74816,924238,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,1.394137501,5
3.054886,910568,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,2.3732881924,6
0.019325,924238,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,2.6391693959,4
-1.469164,910568,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,2.0676957343,1
2.958832,924238,34,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,2.8195245761,8
0.60073,910568,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,-0.018962218,6
-0.240399,924238,35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,0.2568208847,6
1.58458,910568,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,1.0644522427,7
3.038614,924238,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,4.9113196476,5.2015304215,3.2564228182,4.8776174633,5.6384045499,1.6145381243,4
1.338999,910568,38,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,5.4744699407,5.0317296711,3.3485190305,5.1440836553,5.0653079701,1.377879161,2
