IC50,Cancer,Drug,From_Sanger,Fingerprint_860,Fingerprint_835,Fingerprint_834,Fingerprint_833,Fingerprint_830,Fingerprint_829,Fingerprint_828,Fingerprint_827,Fingerprint_826,Fingerprint_825,Fingerprint_824,Fingerprint_822,Fingerprint_821,Fingerprint_820,Fingerprint_819,Fingerprint_818,Fingerprint_813,Fingerprint_812,Fingerprint_809,Fingerprint_806,Fingerprint_804,Fingerprint_803,Fingerprint_801,Fingerprint_800,Fingerprint_799,Fingerprint_798,Fingerprint_797,Fingerprint_792,Fingerprint_791,Fingerprint_788,Fingerprint_785,Fingerprint_784,Fingerprint_783,Fingerprint_782,Fingerprint_780,Fingerprint_779,Fingerprint_778,Fingerprint_776,Fingerprint_714,Fingerprint_712,Fingerprint_711,Fingerprint_710,Fingerprint_709,Fingerprint_707,Fingerprint_705,Fingerprint_702,Fingerprint_698,Fingerprint_697,Fingerprint_694,Fingerprint_687,Fingerprint_686,Fingerprint_685,Fingerprint_679,Fingerprint_677,Fingerprint_676,Fingerprint_674,Fingerprint_673,Fingerprint_672,Fingerprint_669,Fingerprint_667,Fingerprint_659,Fingerprint_658,Fingerprint_656,Fingerprint_648,Fingerprint_647,Fingerprint_646,Fingerprint_644,Fingerprint_643,Fingerprint_635,Fingerprint_629,Fingerprint_625,Fingerprint_617,Fingerprint_611,Fingerprint_588,Fingerprint_576,Fingerprint_363,PKA_141,PKA_141_CSV,PKA_226,PKA_226_CSV,PKA_236_A_CSV,PKA_275,PKA_66_Q,PKA_66_Q_CSV,PKA_66_Q_EXP,DOM_PI3_PI4_kinase,DOM_PI3_PI4_kinase_EXP,MUT_CAMK2B_EXP,MUT_CDC42BPB,MUT_MAP3K9_EXP,MUT_MAP4K1,MUT_MAP4K1_EXP,MUT_NPR2,MUT_TNIK,CNV_PTK2_gain,REC_R_HSA_176298_EXP,REC_R_HSA_380311_CSV,PWY_R_HSA_1250196_EXP,PWY_R_HSA_1640170_CSV,PWY_R_HSA_193648_CSV,PWY_R_HSA_373755,PWY_R_HSA_5607764_EXP,PWY_R_HSA_6804115,PWY_R_HSA_73894,PWY_R_HSA_8939236,GO_0001933_EXP,GO_0006909_EXP,GO_0042060,GO_0048010,GO_0050770_EXP,GO_0050798_EXP,GO_0051496,GO_0051496_EXP,GO_2000021_EXP,SFAM_EGFR,SFAM_MEKK2,SFAM_TSSK,EXP_SYK,EXP_EPHB6,EXP_WNK2,EXP_GRK3,EXP_MAP3K12,EXP_TYK2,EXP_PRKCG,EXP_MAP3K15,EXP_PAK6,EXP_BCKDK,EXP_SIK2,Predicted IC50,Validation
3.189446,749711,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8955486742,7.2249086224,7.3088203904,4.1860254053,3.105042331,9.0040724196,3.280185472,3.205123444,3.9568861231,4.9415320739,4.3351031059,2.604972653,9
1.430802,749715,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.791673,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7859336146,3.0489007833,7.1795790365,3.9999621927,2.9395998904,8.4648590409,3.302863538,3.2741801852,4.08697622,5.6426402758,4.3914341894,2.813510218,7
3.390603,749716,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.672748602,3.7522302436,5.6204231028,3.5293084788,3.3734940905,8.1319606904,3.3966364248,3.3393306887,3.232183633,5.7929241738,3.7941087045,2.4143904235,7
3.411709,906812,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,3.2512997012,3.8546026547,4.9649055226,3.6215285864,3.4823429827,7.0105596892,3.2122513846,4.0493357014,4.5977765208,4.8687860087,4.3741028047,3.4074931477,8
2.592616,906844,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5425760809,0,0,0,7.5425760809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.240521971,6.9660404784,6.0258034473,6.2271579912,3.9935349319,8.0326658835,3.1154436506,5.2961575811,3.8040367504,4.9687206966,4.1654271861,2.0988392394,5
2.677979,906862,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.7540713141,0,0,1,0,0,1,0,0,0,1,1,3.2525660197,0,1,4.4804265384,0,1,0,0,4.9183626325,3.2220061363,4.2086911167,4.2159081627,3.0720914693,6.7991233014,3.2486245769,3.575015472,4.4402894417,5.9124748299,4.1194587757,2.7210209219,9
2.835325,908151,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,8.6449248875,0,2,1,0,0,1,5.2787047002,3.3662201873,0,0,0,5.0328598843,3.2214327207,3.5917420004,5.2681970578,2.9426406728,7.2323673931,3.3541533356,5.9833119249,4.2551177064,5.6930287283,4.3880125001,3.6864644888,1
2.782158,909256,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0.743805,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4.7438427469,0,0,0,4.9725370062,0,0,0,6.3795037728,0,1,0,3.9825085936,0,0,0,7.7481049676,0,0,1,6.9216901083,4.9567786481,4.9255275556,5.4314328709,2.9840274988,8.4997530615,3.2115009656,4.2201943972,3.5893882922,5.5607936666,4.173155721,2.3433371831,10
3.470147,910910,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0.798032,0,0,0.746166,0,0,0,0,0,0,4.0808564979,0,0,0,0,0,0,0,0,0.798032,0,0.798032,0.746166,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4.0174736748,3.0779615408,3.8799072839,3.4052592326,3.5977587079,7.5674346613,3.299945304,3.3655961622,3.1212440927,6.3128417785,4.4682331975,3.6218700174,2
3.393174,910948,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.6801511852,1,1,0,0,0,0,0,0,0,0,3.5319517109,5.9246733677,3.7749920769,3.810231911,4.0908234016,7.4849890305,3.247984012,3.6373254325,3.7075772417,6.5985792921,4.3184694508,3.1207560957,5
